u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,sample,subject
6.589388e+09,9.405703e+18,3.046588e+09,5.320584e+08,6.383421e+17,1.545612e+18,7.321653e+17,2.136005e+09,2.072117e+18,4.426983e+09,9.363728e+08,-1.905367e+18,-1.347522e+18,-1.635479e+18,5.155433e+09,1.984557e+19,7.596198e+09,2.481296e+09,4.182143e+18,-6.319031e+17,4.671712e+18,0,32
4.143640e+09,1.237326e+18,6.106817e+09,2.260019e+08,2.310914e+17,2.204498e+17,2.183238e+17,1.753275e+09,1.660472e+18,3.849383e+09,7.695565e+08,-1.323377e+18,-9.916295e+17,-1.222384e+18,2.855526e+09,5.783614e+18,1.530012e+09,1.137054e+09,1.114735e+18,1.905895e+18,-3.178492e+17,0,49
5.752893e+09,3.398175e+18,1.421632e+09,1.135861e+08,4.451640e+16,2.016038e+17,4.926317e+16,2.219860e+09,2.887525e+18,3.282554e+09,5.979460e+08,-8.086290e+17,-1.000883e+18,-8.063477e+17,4.053639e+09,1.288615e+19,2.264053e+08,3.811732e+08,8.510898e+16,1.102629e+18,-4.038496e+16,0,104
4.163949e+09,1.493821e+18,7.662104e+08,1.951864e+07,2.113659e+15,1.569820e+16,4.244653e+14,1.690309e+09,1.611246e+18,3.597737e+09,6.853322e+08,-9.992583e+17,-8.368669e+17,-9.984867e+17,2.894963e+09,6.154003e+18,3.026107e+08,2.590997e+08,3.665996e+16,1.360304e+16,3.810885e+16,0,89
6.341977e+09,6.744631e+18,5.853086e+09,2.846008e+08,3.652361e+17,7.287306e+17,3.379661e+17,2.177848e+09,2.469844e+18,4.461791e+09,8.671900e+08,-1.666619e+18,-1.348839e+18,-1.604613e+18,4.771115e+09,1.740493e+19,1.257625e+09,1.130047e+09,1.053767e+18,3.722563e+18,-6.168514e+17,0,17
4.373804e+09,1.408230e+18,1.021036e+09,3.970134e+07,5.825953e+15,3.876275e+16,5.392770e+15,1.790121e+09,1.967501e+18,3.412080e+09,5.801824e+08,-7.535806e+17,-7.833397e+17,-8.608112e+17,2.975841e+09,6.726398e+18,9.449243e+07,2.623800e+08,3.729624e+16,4.543608e+17,9.169802e+15,0,84
4.183757e+09,1.468117e+18,7.420050e+08,2.710378e+07,3.794317e+15,3.127279e+16,3.031738e+15,1.769719e+09,1.481542e+18,5.660272e+09,1.073919e+09,-2.370393e+18,-1.226887e+18,-2.186450e+18,2.975555e+09,6.196018e+18,7.307472e+08,3.828950e+08,-2.191456e+16,-5.474174e+17,2.865360e+16,0,22
3.044609e+09,8.793569e+17,5.740900e+08,2.485096e+07,2.941915e+15,2.276177e+16,3.347119e+15,3.335079e+19,1.112275e+39,1.533682e+45,1.533682e+45,2.352182e+90,5.114952e+64,2.352181e+90,3.335079e+19,1.112275e+39,1.533682e+45,1.533682e+45,2.352182e+90,5.114952e+64,2.352182e+90,0,18
3.956164e+09,4.451067e+17,6.430377e+08,1.056049e+07,6.261332e+14,5.097264e+15,8.547815e+14,1.919872e+09,2.010423e+18,5.899298e+09,9.914645e+08,-2.396133e+18,-1.405290e+18,-2.216187e+18,2.540052e+09,4.147160e+18,2.788291e+08,9.903163e+07,1.649250e+15,2.004734e+17,-3.710292e+15,0,85
4.416495e+09,1.812225e+18,9.242243e+08,1.230890e+07,1.255168e+15,1.581326e+16,1.363436e+15,1.868069e+09,1.463128e+18,6.620788e+09,1.264922e+09,-3.459768e+18,-1.495554e+18,-3.024587e+18,3.211821e+09,7.247081e+18,7.874309e+07,1.751567e+08,-1.149832e+16,-4.878561e+16,-2.100915e+16,0,35
5.352271e+09,4.373752e+18,1.052338e+09,1.205101e+08,3.894050e+16,2.299643e+17,2.897643e+16,1.903864e+09,1.844830e+18,3.156840e+09,5.463952e+08,-7.064325e+17,-7.379068e+17,-6.644150e+17,3.994776e+09,1.194359e+19,2.154405e+09,7.104266e+08,3.509657e+17,-3.990798e+17,3.919252e+17,0,46
5.223345e+09,3.124403e+18,1.218031e+09,5.132997e+07,1.266380e+16,8.976215e+16,1.492707e+16,2.042928e+09,2.094120e+18,4.367429e+09,8.405555e+08,-1.361672e+18,-1.102967e+18,-1.591439e+18,3.788619e+09,1.026227e+19,1.151626e+08,2.634290e+08,7.048662e+15,5.967748e+17,-5.090146e+16,0,91
7.143337e+09,1.097921e+19,1.153955e+09,1.011688e+08,-3.498059e+14,6.827149e+16,-1.694933e+15,4.624172e+19,2.138296e+39,1.310766e+45,1.310766e+45,1.718108e+90,6.061208e+64,1.718108e+90,4.624172e+19,2.138296e+39,1.310766e+45,1.310766e+45,1.718108e+90,6.061208e+64,1.718107e+90,0,6
3.131002e+09,9.438995e+17,1.186848e+09,4.008332e+07,8.251078e+15,3.863420e+16,1.070386e+16,1.208619e+09,9.107301e+17,1.948707e+09,3.281131e+08,-2.571706e+17,-3.089333e+17,-2.262181e+17,2.177177e+09,3.695775e+18,1.359135e+08,2.168907e+08,3.050547e+16,3.240813e+17,-1.609429e+16,0,62
3.049178e+09,8.849189e+17,6.231696e+08,5.945092e+07,9.793226e+15,5.181054e+16,9.852648e+15,1.265100e+09,7.296017e+17,2.267651e+09,4.869152e+08,-4.828346e+17,-4.036176e+17,-4.440066e+17,2.198269e+09,3.415868e+18,8.886655e+07,1.858171e+08,1.842520e+15,2.961341e+17,-2.777035e+16,0,90
