j1,j2,j3,sample,subject
1.388083e+10,4.323765e+19,2.369626e+28,0,32
8.752441e+09,1.971634e+19,7.195244e+27,0,49
1.202639e+10,3.528370e+19,1.387950e+28,0,104
8.749221e+09,1.931736e+19,6.569235e+27,0,89
1.329094e+10,4.110782e+19,2.005936e+28,0,17
9.139766e+09,2.108820e+19,6.711394e+27,0,84
8.929032e+09,2.034398e+19,7.768445e+27,0,22
6.670158e+19,4.061407e+29,5.595671e+38,0,18
8.416088e+09,1.918632e+19,7.635785e+27,0,85
9.496386e+09,2.278847e+19,9.341220e+27,0,35
1.125091e+10,3.006757e+19,1.307615e+28,0,46
1.105489e+10,3.032973e+19,1.397309e+28,0,91
9.248344e+19,1.321208e+30,3.703250e+39,0,6
6.516798e+09,1.045363e+19,2.253004e+27,0,62
6.512547e+09,1.069996e+19,2.977943e+27,0,90
7.675826e+19,8.107120e+29,1.812566e+39,0,26
1.093029e+20,1.258588e+30,3.174886e+39,0,9
5.815220e+09,8.599770e+18,2.218919e+27,0,48
1.417780e+10,4.556832e+19,2.741773e+28,0,73
9.124332e+09,2.253890e+19,9.924258e+27,0,85
1.436376e+10,5.324445e+19,3.453118e+28,0,7
1.316193e+10,4.063785e+19,1.905392e+28,0,9
8.874824e+09,2.091248e+19,7.714433e+27,0,40
7.777660e+09,1.576104e+19,5.103782e+27,0,46
7.684491e+19,6.431654e+29,1.235814e+39,0,89
7.320963e+09,1.181288e+19,2.572666e+27,0,31
8.994895e+09,1.929657e+19,4.910002e+27,0,100
8.932469e+09,1.963579e+19,5.528768e+27,0,101
1.331120e+10,4.296108e+19,2.506338e+28,0,93
7.124032e+09,1.273224e+19,3.102584e+27,0,62
9.876804e+09,2.503965e+19,9.864313e+27,0,46
1.910642e+10,8.362489e+19,6.441833e+28,0,5
8.214489e+09,1.640968e+19,3.411326e+27,0,26
1.221216e+10,3.587544e+19,1.574122e+28,0,51
1.202378e+10,3.200627e+19,1.230268e+28,0,3
1.406970e+10,4.814330e+19,2.800297e+28,0,85
1.659118e+10,6.169237e+19,3.808341e+28,0,9
1.185387e+10,3.294343e+19,1.083776e+28,0,104
9.972216e+09,2.539057e+19,1.147006e+28,0,35
9.574124e+09,2.305698e+19,9.502912e+27,0,10
7.352716e+19,6.196084e+29,1.212371e+39,0,45
1.175679e+10,3.443570e+19,1.728605e+28,0,44
5.448964e+09,7.819519e+18,1.636957e+27,0,102
4.636368e+09,5.499463e+18,9.421952e+26,0,13
9.054449e+19,9.098074e+29,2.141508e+39,0,79
8.185050e+09,1.603917e+19,4.707179e+27,0,52
