dataset,hu1980,hututu,legendre,chebyshev,zernike
bs,30.93,43.81,56.7,57.22,28.87
bs-out,30.93,44.33,58.76,58.25,29.38
bs-out-d200,25.26,39.18,59.28,59.79,24.23
bs-out-d200-c60,41.75,45.88,56.19,53.61,32.99
bs-out-d200-c70,39.18,44.33,52.06,51.03,30.93
bs-out-d200-c80,39.18,37.11,52.06,48.97,30.93
bs-out-d200-c60-icp,67.53,83.51,90.21,90.72,87.63
bs-out-d200-c70-icp,68.04,83.51,92.27,92.27,89.18
bs-out-d200-c80-icp,78.87,88.66,96.39,94.85,95.36
bs-out-d225,25.26,38.14,59.28,59.79,24.23
bs-out-d225-c60,40.72,44.85,53.61,55.15,32.47
bs-out-d225-c70,38.66,42.27,51.55,51.55,29.9
bs-out-d225-c80,38.14,36.08,49.48,47.94,30.93
bs-out-d225-c60-icp,61.34,80.93,91.75,89.69,88.14
bs-out-d225-c70-icp,67.53,78.35,89.69,89.18,87.63
bs-out-d225-c80-icp,74.23,85.57,94.33,92.78,90.72
