setting,classifier,rate
"[('frontal', 'husiq'), ('frontal', 'hututu')]",DMC_manhattam,87.11
"[('frontal', 'husiq'), ('frontal', 'hu1980')]",DMC_manhattam,87.63
"[('frontal', 'husiq'), ('frontal', 'legendre')]",DMC_manhattam,91.75
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",DMC_manhattam,93.3
"[('frontal', 'husiq'), ('frontal', 'zernike')]",DMC_manhattam,90.21
"[('frontal', 'husiq'), ('radial', 'husiq')]",DMC_manhattam,89.69
"[('frontal', 'husiq'), ('radial', 'hututu')]",DMC_manhattam,91.24
"[('frontal', 'husiq'), ('radial', 'hu1980')]",DMC_manhattam,88.66
"[('frontal', 'husiq'), ('radial', 'legendre')]",KNN_euclidean,92.27
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",DMC_manhattam,93.81
"[('frontal', 'husiq'), ('radial', 'zernike')]",DMC_manhattam,93.3
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",MLP,86.6
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",DMC_manhattam,85.57
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",DMC_manhattam,87.11
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",DMC_manhattam,93.81
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",DMC_manhattam,89.69
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",MLP,90.72
"[('frontal', 'husiq'), ('transversal', 'husiq')]",DMC_manhattam,91.24
"[('frontal', 'husiq'), ('transversal', 'hututu')]",DMC_manhattam,91.75
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",DMC_manhattam,90.72
"[('frontal', 'husiq'), ('transversal', 'legendre')]",DMC_manhattam,93.3
"[('frontal', 'husiq'), ('transversal', 'chebyshev')]",DMC_manhattam,93.81
"[('frontal', 'husiq'), ('transversal', 'zernike')]",MLP,85.57
"[('frontal', 'husiq'), ('whole', 'husiq')]",DMC_manhattam,89.18
"[('frontal', 'husiq'), ('whole', 'hututu')]",DMC_manhattam,87.63
"[('frontal', 'husiq'), ('whole', 'hu1980')]",DMC_manhattam,89.69
"[('frontal', 'husiq'), ('whole', 'legendre')]",DMC_manhattam,90.21
"[('frontal', 'husiq'), ('whole', 'chebyshev')]",DMC_manhattam,89.69
"[('frontal', 'husiq'), ('whole', 'zernike')]",KNN_euclidean,94.85
"[('frontal', 'husiq'), ('upper', 'husiq')]",DMC_manhattam,88.66
"[('frontal', 'husiq'), ('upper', 'hututu')]",DMC_manhattam,89.18
"[('frontal', 'husiq'), ('upper', 'hu1980')]",DMC_manhattam,87.63
"[('frontal', 'husiq'), ('upper', 'legendre')]",DMC_manhattam,90.21
"[('frontal', 'husiq'), ('upper', 'chebyshev')]",DMC_manhattam,87.11
"[('frontal', 'husiq'), ('upper', 'zernike')]",DMC_manhattam,91.75
"[('frontal', 'husiq'), ('lower', 'husiq')]",DMC_manhattam,91.75
"[('frontal', 'husiq'), ('lower', 'hututu')]",DMC_manhattam,93.3
"[('frontal', 'husiq'), ('lower', 'hu1980')]",DMC_manhattam,87.63
"[('frontal', 'husiq'), ('lower', 'legendre')]",DMC_manhattam,90.21
"[('frontal', 'husiq'), ('lower', 'chebyshev')]",DMC_manhattam,87.11
"[('frontal', 'husiq'), ('lower', 'zernike')]",DMC_manhattam,91.24
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",DMC_manhattam,86.6
"[('frontal', 'hututu'), ('frontal', 'legendre')]",DMC_manhattam,92.27
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",DMC_manhattam,93.81
"[('frontal', 'hututu'), ('frontal', 'zernike')]",DMC_manhattam,89.69
"[('frontal', 'hututu'), ('radial', 'husiq')]",DMC_manhattam,90.21
"[('frontal', 'hututu'), ('radial', 'hututu')]",DMC_manhattam,92.27
"[('frontal', 'hututu'), ('radial', 'hu1980')]",DMC_manhattam,87.63
"[('frontal', 'hututu'), ('radial', 'legendre')]",DMC_manhattam,92.78
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",DMC_manhattam,92.78
"[('frontal', 'hututu'), ('radial', 'zernike')]",DMC_manhattam,94.33
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",DMC_manhattam,86.08
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",DMC_manhattam,87.11
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",DMC_manhattam,87.63
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_euclidean,93.81
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",DMC_manhattam,90.21
