m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,sample,subject,tp,exp
5.715021e+08,1.750379e+15,8.153708e+19,1.336231e+19,3.063214e+08,8.758809e+16,1.423834e+18,2.177596e+17,2.762600e+08,7.082401e+16,2.045962e+17,2.351145e+17,2.009004e+07,3.789398e+14,1.047113e+18,1.135997e+18,3.763850e+05,6.382286e+10,5.043544e+12,1.116990e+12,1.983811e+07,3.914374e+14,1.122096e+18,1.120257e+18,1.213675e+08,3.293402e+15,3.774613e+17,1.143766e+18,3.724888e+07,1.026100e+15,1.410949e+17,4.679162e+16,8.973458e+07,7.217788e+15,5.835765e+17,6.518762e+17,0,4,E,HAPPY
4.623236e+08,6.613327e+14,5.889327e+19,2.860866e+19,2.300813e+08,4.832502e+16,1.801076e+18,2.602109e+17,2.427305e+08,5.424958e+16,5.533725e+18,5.204306e+18,2.221536e+05,8.427698e+08,7.000080e+10,5.528928e+09,1.161650e+05,6.027755e+09,2.205592e+11,4.465209e+10,1.450915e+05,1.235390e+10,4.021533e+11,6.941049e+10,1.130162e+08,2.957027e+15,6.748379e+17,6.440642e+17,3.265496e+07,7.057624e+14,1.279681e+17,1.594823e+16,8.651442e+07,6.551131e+15,1.310202e+17,1.949249e+17,0,4,UFAU,44
4.793171e+08,1.482837e+15,6.060145e+19,3.362861e+19,2.349775e+08,5.068924e+16,2.466635e+18,3.786994e+17,2.550026e+08,5.976685e+16,7.445258e+18,7.019452e+18,6.684071e+06,4.134656e+13,1.507968e+17,1.558371e+17,1.994690e+05,7.314234e+09,7.687866e+11,4.216164e+11,6.607103e+06,4.288692e+13,1.571900e+17,1.564937e+17,1.152724e+08,3.127053e+15,1.011579e+18,6.994681e+17,3.300047e+07,7.127674e+14,1.041456e+17,1.687761e+16,8.874758e+07,6.892688e+15,1.341554e+17,1.911483e+17,0,4,LFAU,20
4.767307e+08,1.929810e+15,7.139470e+19,4.460062e+19,2.339165e+08,4.979243e+16,2.592995e+18,9.496528e+17,2.540880e+08,5.900457e+16,1.354332e+19,1.195231e+19,2.177242e+06,4.144855e+12,1.922608e+16,1.920529e+16,9.802343e+04,2.129882e+09,1.285291e+11,5.326922e+10,2.133080e+06,4.372980e+12,1.956391e+16,1.945944e+16,1.366540e+08,3.021658e+15,1.770854e+18,2.114975e+17,4.460324e+07,1.431059e+15,2.655648e+17,5.088270e+16,9.935295e+07,8.599740e+15,6.640387e+15,3.600564e+15,0,4,PR,D
1.146359e+08,1.025700e+16,6.245985e+17,2.990338e+17,1.208792e+07,9.094864e+13,2.844081e+15,6.147040e+14,1.069987e+08,1.052991e+16,3.119598e+17,3.142408e+17,5.861574e+04,2.094759e+09,1.177219e+11,1.504940e+10,1.282362e+04,2.161210e+05,9.079666e+08,3.165569e+08,5.858392e+04,2.099934e+09,4.325194e+10,7.200675e+09,3.695205e+07,1.188298e+15,2.303133e+17,2.754542e+17,3.111816e+06,3.746330e+12,4.720059e+14,2.003236e+14,3.538667e+07,1.145191e+15,2.616211e+17,2.674378e+17,0,4,YR,R90
5.067343e+08,1.295623e+15,5.391896e+19,4.168283e+19,2.435007e+08,5.400988e+16,2.741132e+18,3.232859e+17,2.746925e+08,6.936049e+16,1.116309e+19,1.019048e+19,1.269402e+06,1.139285e+12,4.856180e+15,4.851152e+15,1.316583e+05,5.478275e+09,2.063125e+11,5.816197e+10,1.196199e+06,1.304781e+12,4.957726e+15,4.904761e+15,1.217791e+08,3.436257e+15,7.158145e+17,4.368182e+17,3.458798e+07,8.288904e+14,1.355622e+17,1.696476e+16,9.316292e+07,7.642769e+15,4.952718e+16,9.547468e+16,0,4,UFAU,43
3.930092e+08,9.484396e+14,5.818114e+19,3.401486e+19,2.090051e+08,4.013597e+16,2.225434e+18,1.244216e+18,1.928481e+08,3.402176e+16,6.838249e+18,7.243239e+18,1.426372e+07,1.913510e+14,4.759058e+17,5.053506e+17,3.485551e+05,6.222084e+10,4.845339e+12,2.361232e+12,1.404219e+07,1.959346e+14,4.960552e+17,4.947247e+17,1.568073e+08,2.919903e+15,1.280644e+18,2.005834e+18,5.761252e+07,2.454946e+15,3.687268e+17,4.895872e+16,1.076362e+08,1.015837e+16,5.992523e+17,7.803828e+17,0,4,LFAU,9
4.410086e+08,2.122453e+15,5.519995e+19,2.967931e+19,2.071129e+08,3.899644e+16,1.244692e+18,1.492919e+17,2.439870e+08,5.512758e+16,6.202352e+18,6.067592e+18,2.369344e+05,5.150921e+09,5.971572e+10,7.705003e+09,1.035488e+05,3.971484e+09,1.650652e+11,3.543390e+10,1.740414e+05,1.856575e+10,8.846758e+11,1.496165e+11,1.036873e+08,2.840364e+15,4.344442e+17,5.550512e+17,2.759428e+07,5.265750e+14,8.536338e+16,1.325786e+16,8.085836e+07,5.803798e+15,1.434315e+17,1.666355e+17,0,4,LFAU,15
4.780313e+08,1.162607e+15,7.286659e+19,2.882667e+19,2.364621e+08,5.092600e+16,1.481195e+18,1.743114e+17,2.527276e+08,5.889608e+16,4.285518e+18,3.994018e+18,4.479277e+06,1.856975e+13,8.054671e+16,8.153427e+16,1.175331e+05,2.771912e+09,1.457306e+11,7.131400e+10,4.426653e+06,1.927813e+13,8.255220e+16,8.226965e+16,1.166075e+08,3.211633e+15,8.919379e+17,8.018946e+17,3.325409e+07,7.373641e+14,1.118135e+17,1.359778e+16,8.954237e+07,7.058132e+15,1.552961e+17,2.295666e+17,0,4,O,HAIR
4.316146e+08,1.891867e+15,7.595393e+19,3.328343e+19,2.208029e+08,4.450769e+16,1.325259e+18,1.665345e+17,2.209156e+08,4.464799e+16,6.090009e+18,5.768007e+18,8.525629e+06,6.892861e+13,2.924756e+17,2.966294e+17,1.649427e+05,3.450763e+09,2.265752e+11,1.393548e+11,8.467149e+06,7.085622e+13,2.995479e+17,2.990264e+17,1.200384e+08,1.704101e+15,1.667403e+18,6.230803e+17,4.291780e+07,1.341297e+15,2.011188e+17,3.012647e+16,8.381501e+07,6.034457e+15,7.580891e+16,1.066164e+17,0,4,LFAU,16
5.165863e+08,1.050558e+15,6.844824e+19,3.291210e+19,2.561733e+08,6.115028e+16,1.105246e+18,1.319083e+17,2.707752e+08,6.812322e+16,5.633783e+18,5.210357e+18,3.877564e+06,1.317283e+13,5.629634e+16,5.858231e+16,1.931624e+05,1.680532e+10,1.290864e+12,4.151495e+11,3.752170e+06,1.370441e+13,5.692658e+16,5.681712e+16,1.537600e+08,4.131183e+15,1.767257e+18,1.348420e+18,5.675039e+07,2.538671e+15,7.088596e+17,3.718549e+17,1.043977e+08,9.721523e+15,9.971907e+17,1.134032e+18,0,4,LFAU,12R
8.168888e+07,5.018052e+13,6.956235e+18,6.411091e+18,4.038628e+07,1.418141e+15,1.460014e+17,2.001622e+17,4.452494e+07,1.809711e+15,1.911098e+18,1.866706e+18,3.487697e+07,3.681712e+14,1.388925e+16,3.188171e+17,8.645165e+06,5.067866e+13,2.819085e+15,1.128973e+15,2.783186e+07,6.995891e+14,1.755540e+17,1.926795e+17,8.386744e+07,4.203007e+13,3.792850e+18,1.259088e+18,4.688689e+07,1.791224e+15,1.871841e+17,5.525987e+16,4.162917e+07,1.410122e+15,7.061756e+16,9.460611e+16,0,4,YR,L45
4.489616e+08,1.477798e+15,7.041136e+19,3.721558e+19,2.256757e+08,4.692473e+16,3.091595e+18,1.905972e+18,2.332214e+08,5.003016e+16,8.566429e+18,8.450638e+18,3.666927e+05,3.968805e+10,5.320826e+13,5.569769e+13,1.033592e+05,4.135209e+09,1.264545e+11,3.153438e+10,3.024317e+05,6.936293e+10,6.248660e+13,5.662494e+13,1.274159e+08,2.626402e+15,5.752790e+17,8.644819e+17,4.188644e+07,1.256181e+15,2.318277e+17,5.132921e+16,9.257404e+07,7.466313e+15,2.872910e+17,3.607105e+17,0,4,E,SADNESS
4.438121e+08,1.436348e+15,6.038294e+19,3.034280e+19,2.156793e+08,4.231908e+16,1.661359e+18,2.551188e+17,2.384039e+08,5.224171e+16,6.632749e+18,6.128087e+18,6.636613e+05,2.473720e+11,1.292617e+15,1.293893e+15,1.036422e+05,4.089828e+09,1.643544e+11,4.235690e+10,6.000832e+05,3.148877e+11,1.323869e+15,1.306575e+15,1.085043e+08,2.707492e+15,5.349146e+17,6.998482e+17,3.104030e+07,6.630211e+14,1.068274e+17,1.641545e+16,8.294865e+07,6.054769e+15,1.757414e+17,2.403978e+17,0,4,LFAU,25
4.051255e+08,4.697061e+15,1.073756e+20,3.644005e+19,2.310174e+08,4.888435e+16,9.968067e+17,1.818435e+17,1.841598e+08,3.043411e+16,5.185330e+18,4.736139e+18,1.319845e+06,1.096724e+12,2.841766e+15,3.177330e+15,1.727801e+05,9.964437e+09,8.241998e+11,1.707379e+11,1.220026e+06,1.345096e+12,3.168105e+15,3.156862e+15,1.648843e+08,4.637177e+14,3.988772e+18,8.505279e+17,7.652987e+07,4.656812e+15,9.325289e+17,1.559041e+17,9.672956e+07,7.905486e+15,3.844681e+16,5.624601e+16,0,4,LFAU,34
2.134960e+08,1.767281e+16,1.160912e+18,4.938742e+18,5.251154e+07,2.270150e+15,5.125637e+17,4.290784e+17,1.677251e+08,2.605889e+16,1.791070e+18,1.613106e+18,5.745815e+05,1.786043e+11,7.911895e+14,7.924354e+14,9.533274e+04,3.317920e+09,1.408329e+11,3.881211e+10,5.173146e+05,2.300227e+11,8.209754e+14,8.022257e+14,1.074749e+08,3.258355e+15,5.600063e+17,7.396255e+17,2.809602e+07,5.171181e+14,7.258341e+16,8.626578e+15,8.477002e+07,6.382263e+15,1.684005e+17,2.423724e+17,0,4,O,EYE
