l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,sample,subject
2.987006e+08,4.052662e+16,1.701977e+10,5.529426e+10,1.687601e+21,1.112691e+19,1.906205e+21,5.485135e+07,1.832533e+15,4.994402e+08,7.251487e+07,-9.218260e+15,-2.475369e+15,-7.512376e+15,2.559109e+08,5.976981e+16,4.844018e+10,4.388608e+10,2.023005e+21,1.028390e+19,-4.235535e+20,3,72
1.844164e+08,1.960669e+16,4.749566e+10,4.928380e+10,2.379771e+21,6.898093e+18,2.519624e+21,2.547441e+07,3.604028e+14,2.459511e+08,3.925541e+07,-1.309171e+14,-2.629443e+14,5.217631e+14,1.654514e+08,2.526352e+16,5.050670e+10,5.042834e+10,2.544982e+21,7.850632e+18,-5.019540e+20,3,93
1.547167e+08,1.211948e+16,3.120472e+10,2.904773e+10,8.712098e+20,3.181701e+18,8.792534e+20,2.331368e+07,4.597244e+14,4.900789e+07,1.754976e+07,4.719846e+14,2.203780e+14,1.588676e+14,1.332755e+08,1.729911e+16,2.944237e+10,2.976900e+10,8.813165e+20,3.913605e+18,-8.554451e+19,0,26
1.389797e+08,5.491334e+15,1.415884e+09,2.592494e+09,4.768993e+18,1.897217e+17,5.286819e+17,3.867706e+07,7.159387e+14,6.955583e+08,7.742053e+07,-1.746693e+16,-2.048396e+15,-1.781006e+16,1.122316e+08,1.044185e+16,4.675200e+09,2.111657e+09,6.371691e+18,1.376690e+17,-3.061678e+17,3,96
7.899688e+07,4.455200e+15,5.833693e+08,2.904497e+07,2.356531e+15,1.560618e+15,1.847001e+15,7.279422e+06,2.497713e+13,1.439038e+07,2.013446e+06,-3.356656e+12,-5.374768e+12,-6.386364e+11,7.399961e+07,5.149483e+15,1.360021e+09,2.387793e+08,3.303950e+16,-3.696828e+15,4.673322e+16,1,55
1.343336e+07,1.200616e+14,1.384715e+09,3.938546e+08,2.754055e+17,3.814214e+15,2.907350e+17,1.547740e+06,8.792429e+11,1.116140e+07,4.350739e+05,-4.512409e+11,-2.925852e+11,-4.608454e+11,1.249787e+07,1.436846e+14,5.446522e+08,6.198426e+08,3.571736e+17,6.705278e+15,-4.241156e+16,3,90
3.417363e+08,2.442835e+16,3.716278e+09,4.309133e+10,5.418909e+20,6.662508e+18,4.999203e+20,1.025182e+08,7.084349e+15,1.500209e+09,1.553925e+08,-6.124358e+16,-1.183331e+16,-6.199827e+16,2.575882e+08,5.821471e+16,2.611589e+10,3.029005e+10,8.518134e+20,7.222361e+18,-2.758378e+19,1,5
2.993453e+08,2.122246e+16,3.394699e+09,1.073840e+09,3.064591e+17,1.224197e+17,-1.366253e+17,9.223156e+07,3.845990e+15,2.409708e+09,3.734548e+08,-3.327122e+17,-2.179217e+16,-3.488621e+17,2.378998e+08,4.682387e+16,3.041294e+09,5.317406e+08,-2.800874e+17,-9.060070e+16,-6.023693e+16,0,27
2.952101e+07,7.200458e+14,4.815386e+07,4.868919e+06,-6.722420e+13,-1.306505e+14,2.199343e+12,1.826181e+06,8.492894e+11,2.136681e+06,7.591121e+04,-1.874995e+10,-4.118028e+10,-9.749621e+09,2.861525e+07,7.773801e+14,4.781625e+08,5.014408e+07,-7.592405e+15,-1.394111e+15,-6.860472e+15,0,28
4.122266e+08,4.318521e+16,1.220000e+08,1.042753e+10,1.048243e+19,2.161812e+18,7.744217e+18,1.164574e+08,7.800214e+15,9.719814e+08,1.367635e+08,-1.857444e+16,-7.791947e+15,-1.124274e+16,3.240102e+08,9.206483e+16,5.464026e+09,6.535571e+09,3.905442e+19,1.920147e+18,-1.552138e+18,0,67
