subject,crop,x,y,z,distance,angle
bs000_N_N_0,20,20.586567,0.123887,-29.163559,22.24,0
bs000_N_N_0,20,20.586567,0.123887,-29.163559,22.24,2.5
bs000_N_N_0,20,20.568567,2.400665,-29.911560,21.53,5
bs000_N_N_0,20,20.568567,2.400665,-29.911560,21.53,7.5
bs000_N_N_0,20,20.321510,4.430665,-30.571339,21.52,10
bs000_N_N_0,20,20.321510,4.430665,-30.571339,21.52,12.5
bs000_N_N_0,20,18.244455,4.686555,-29.618004,19.51,15
bs000_N_N_0,20,18.009512,6.716002,-30.417839,21.48,17.5
bs000_N_N_0,20,18.812012,7.477002,-31.397003,22.03,20
bs000_N_N_0,20,18.812012,7.477002,-31.397003,22.03,22.5
bs000_N_N_0,20,18.340677,9.250891,-32.276672,26.49,25
bs000_N_N_0,20,18.340677,9.250891,-32.276672,26.49,27.5
bs000_N_N_0,20,16.785009,10.011999,-31.668005,24.2,30
bs000_N_N_0,20,16.785009,10.011999,-31.668005,24.2,32.5
bs000_N_N_0,20,16.035439,11.532429,-32.124577,21.37,35
bs000_N_N_0,20,16.035439,11.532429,-32.124577,21.37,37.5
bs000_N_N_0,20,15.278010,13.055002,-32.504005,24.67,40
bs000_N_N_0,20,15.278010,13.055002,-32.504005,24.67,42.5
bs000_N_N_0,20,14.192209,13.960802,-32.059204,21.68,45
bs000_N_N_0,20,13.233010,15.573336,-32.325336,21.97,47.5
bs000_N_N_0,20,13.233010,15.573336,-32.325336,21.97,50
bs000_N_N_0,20,11.957342,16.573666,-31.978672,22.62,52.5
bs000_N_N_0,20,11.396258,15.887253,-29.868755,24.59,55
bs000_N_N_0,20,10.941675,17.827000,-31.941673,22.95,57.5
bs000_N_N_0,20,10.941675,17.827000,-31.941673,22.95,60
bs000_N_N_0,20,8.603674,17.847000,-27.900335,22.24,62.5
bs000_N_N_0,20,8.603674,17.847000,-27.900335,22.24,65
bs000_N_N_0,20,7.362338,18.841000,-27.772337,25.61,67.5
bs000_N_N_0,20,6.839005,18.366333,-25.653004,22.25,70
bs000_N_N_0,20,5.506005,18.768002,-20.212503,21.76,72.5
bs000_N_N_0,20,5.506005,18.768002,-20.212503,21.76,75
bs000_N_N_0,20,4.045004,19.896999,-19.438002,21.69,77.5
bs000_N_N_0,20,3.352004,19.155998,-18.022001,21,80
bs000_N_N_0,20,2.493254,20.561127,-18.588627,21.86,82.5
bs000_N_N_0,20,2.493254,20.561127,-18.588627,21.86,85
bs000_N_N_0,20,0.404667,19.921001,-17.185667,20.08,87.5
bs000_N_N_0,20,0.404667,19.921001,-17.185667,20.08,90
bs000_N_N_0,20,-1.676601,20.231602,-17.131001,21.13,92.5
bs000_N_N_0,20,-1.676601,20.231602,-17.131001,21.13,95
bs000_N_N_0,20,-1.676601,20.231602,-17.131001,21.13,97.5
bs000_N_N_0,20,-3.687001,19.942001,-17.233501,21.93,100
bs000_N_N_0,20,-3.687001,19.942001,-17.233501,21.93,102.5
bs000_N_N_0,20,-5.828203,18.303200,-17.022202,20.71,105
bs000_N_N_0,20,-5.828203,18.303200,-17.022202,20.71,107.5
bs000_N_N_0,20,-6.879004,18.631500,-18.362001,23.26,110
bs000_N_N_0,20,-7.839503,18.065998,-19.212502,23.38,112.5
bs000_N_N_0,20,-8.769504,18.435501,-20.773834,23.13,115
bs000_N_N_0,20,-8.769504,18.435501,-20.773834,23.13,117.5
bs000_N_N_0,20,-9.378004,16.558498,-20.148502,22.81,120
bs000_N_N_0,20,-11.368754,16.168999,-23.060001,21.22,122.5
bs000_N_N_0,20,-11.368754,16.168999,-23.060001,21.22,125
bs000_N_N_0,20,-12.550005,15.406002,-24.275003,20.78,127.5
bs000_N_N_0,20,-12.550005,15.406002,-24.275003,20.78,130
bs000_N_N_0,20,-13.779606,14.029402,-25.075802,20.34,132.5
bs000_N_N_0,20,-13.779606,14.029402,-25.075802,20.34,135
bs000_N_N_0,20,-14.854008,13.471003,-26.211504,22.37,137.5
bs000_N_N_0,20,-14.854008,13.471003,-26.211504,22.37,140
bs000_N_N_0,20,-16.215761,11.743002,-26.987503,24.87,142.5
bs000_N_N_0,20,-16.215761,11.743002,-26.987503,24.87,145
bs000_N_N_0,20,-17.194510,11.146002,-27.883503,24.75,147.5
bs000_N_N_0,20,-17.828676,9.262503,-27.789669,27.32,150
bs000_N_N_0,20,-17.828676,9.262503,-27.789669,27.32,152.5
bs000_N_N_0,20,-17.828676,9.262503,-27.789669,27.32,155
bs000_N_N_0,20,-18.321014,7.000500,-27.508167,25.17,157.5
bs000_N_N_0,20,-18.321014,7.000500,-27.508167,25.17,160
bs000_N_N_0,20,-19.499512,6.591501,-28.437504,23.12,162.5
bs000_N_N_0,20,-19.865677,4.692167,-28.161005,25.19,165
bs000_N_N_0,20,-19.865677,4.692167,-28.161005,25.19,167.5
bs000_N_N_0,20,-19.865677,4.692167,-28.161005,25.19,170
bs000_N_N_0,20,-20.135513,2.315874,-27.962378,23.47,172.5
bs000_N_N_0,20,-20.135513,2.315874,-27.962378,23.47,175
bs000_N_N_0,20,-20.077869,0.326854,-27.657001,24.6,177.5
bs000_N_N_0,20,-20.077869,0.326854,-27.657001,24.6,180
bs000_N_N_0,40,40.507023,0.598285,-36.770004,44.8,0
bs000_N_N_0,40,40.308647,2.444748,-37.171631,43.04,2.5
bs000_N_N_0,40,40.158859,4.381165,-37.526005,43.37,5
bs000_N_N_0,40,40.158859,4.381165,-37.526005,43.37,7.5
bs000_N_N_0,40,40.433247,6.918333,-38.437893,44.28,10
bs000_N_N_0,40,38.147690,9.208445,-38.824673,44.11,12.5
bs000_N_N_0,40,37.988022,11.033199,-39.685406,44.54,15
bs000_N_N_0,40,38.322525,12.055502,-40.355507,45.06,17.5
bs000_N_N_0,40,38.126133,13.775558,-41.342785,45.79,20
bs000_N_N_0,40,37.604355,15.567003,-42.022675,46.26,22.5
bs000_N_N_0,40,35.812019,16.080446,-41.456676,49.16,25
bs000_N_N_0,40,36.006592,18.470999,-41.757439,52.12,27.5
bs000_N_N_0,40,33.894184,20.623335,-39.471004,46.97,30
bs000_N_N_0,40,33.894184,20.623335,-39.471004,46.97,32.5
bs000_N_N_0,40,31.998352,22.891779,-38.394226,43.5,35
bs000_N_N_0,40,31.802521,24.588005,-38.878006,49.25,37.5
bs000_N_N_0,40,29.703686,25.922005,-40.520008,45.68,40
bs000_N_N_0,40,29.714241,27.429451,-40.628452,46.05,42.5
bs000_N_N_0,40,27.523018,27.635292,-39.628433,42.84,45
bs000_N_N_0,40,27.416021,29.658005,-37.707005,43.09,47.5
bs000_N_N_0,40,25.026852,29.837006,-41.480007,43.78,50
bs000_N_N_0,40,25.161591,31.745720,-40.349579,46.97,52.5
bs000_N_N_0,40,22.032017,32.666008,-37.173004,49.07,55
bs000_N_N_0,40,20.477127,34.179230,-36.780117,46.49,57.5
bs000_N_N_0,40,20.477127,34.179230,-36.780117,46.49,60
bs000_N_N_0,40,18.180794,36.445786,-36.745338,45.15,62.5
bs000_N_N_0,40,15.891457,36.437004,-36.502895,47.79,65
bs000_N_N_0,40,15.891457,36.437004,-36.502895,47.79,67.5
bs000_N_N_0,40,14.356011,37.936005,-35.647007,48.67,70
bs000_N_N_0,40,11.556509,38.107258,-34.089005,47.72,72.5
bs000_N_N_0,40,9.893008,37.912006,-33.475006,47.39,75
bs000_N_N_0,40,9.054633,38.772255,-32.326382,48.08,77.5
bs000_N_N_0,40,6.927452,38.675117,-31.642675,43.83,80
bs000_N_N_0,40,4.615505,38.770634,-30.370630,44.19,82.5
bs000_N_N_0,40,3.231005,40.569508,-29.034506,44.09,85
bs000_N_N_0,40,2.275862,41.058434,-28.495434,44.66,87.5
bs000_N_N_0,40,0.251892,40.953785,-27.513449,42.44,90
bs000_N_N_0,40,-2.764998,40.189007,-26.507004,41.76,92.5
bs000_N_N_0,40,-2.764998,40.189007,-26.507004,41.76,95
bs000_N_N_0,40,-4.282445,38.679340,-26.359226,41.24,97.5
bs000_N_N_0,40,-7.311336,38.684677,-26.624672,42.47,100
bs000_N_N_0,40,-8.826225,38.691898,-27.256226,43.97,102.5
bs000_N_N_0,40,-11.097004,38.704006,-28.216341,47.01,105
bs000_N_N_0,40,-11.097004,38.704006,-28.216341,47.01,107.5
bs000_N_N_0,40,-13.463005,38.625881,-29.417257,46.91,110
bs000_N_N_0,40,-14.880007,37.233009,-30.981007,47.13,112.5
bs000_N_N_0,40,-17.730505,37.062008,-32.761753,48.47,115
bs000_N_N_0,40,-18.078609,36.048805,-33.843605,47.4,117.5
bs000_N_N_0,40,-20.242008,34.606174,-35.320004,49.15,120
bs000_N_N_0,40,-22.541010,33.459339,-35.751003,45.63,122.5
bs000_N_N_0,40,-22.671259,32.022881,-36.805130,45.06,125
bs000_N_N_0,40,-24.856121,31.920452,-36.694340,47.74,127.5
bs000_N_N_0,40,-24.856457,29.615894,-36.830006,43.33,130
bs000_N_N_0,40,-27.130453,29.602230,-36.578671,42.98,132.5
bs000_N_N_0,40,-27.165680,28.065006,-37.520336,41.39,135
bs000_N_N_0,40,-29.443794,27.281673,-37.419003,45.39,137.5
bs000_N_N_0,40,-31.386351,24.979839,-38.514671,45.74,140
bs000_N_N_0,40,-31.386351,24.979839,-38.514671,45.74,142.5
bs000_N_N_0,40,-32.497517,23.070505,-37.943005,51.56,145
bs000_N_N_0,40,-34.687019,21.161005,-35.823006,49.27,147.5
bs000_N_N_0,40,-35.424019,19.637003,-35.347004,50.53,150
bs000_N_N_0,40,-35.810017,17.922503,-35.481255,50.29,152.5
bs000_N_N_0,40,-35.685017,16.348005,-35.421673,49.09,155
bs000_N_N_0,40,-36.209023,15.656002,-35.806255,47.67,157.5
bs000_N_N_0,40,-37.768856,13.951502,-36.752338,47.46,160
bs000_N_N_0,40,-37.797577,12.058670,-37.151447,44.52,162.5
bs000_N_N_0,40,-37.869804,9.786779,-37.470783,45.8,165
bs000_N_N_0,40,-39.400024,9.024000,-37.743004,47.06,167.5
bs000_N_N_0,40,-40.074028,7.424500,-37.327381,50.11,170
bs000_N_N_0,40,-40.150795,5.269999,-36.329338,46.03,172.5
bs000_N_N_0,40,-40.286621,3.463601,-35.804405,45.99,175
bs000_N_N_0,40,-39.940273,2.453999,-35.282005,44.92,177.5
bs000_N_N_0,40,-40.077354,0.745220,-34.777004,47.02,180
bs000_N_N_0,60,59.944366,0.571665,-52.482342,62.45,0
bs000_N_N_0,60,59.139366,2.906332,-51.555676,60.2,2.5
bs000_N_N_0,60,59.126701,5.180334,-52.165009,61.27,5
