u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,sample,subject
4.098948e+09,1.653886e+18,5.970157e+08,3.302615e+07,4.633337e+15,3.831861e+16,2.017144e+15,1.602222e+09,1.501486e+18,2.785125e+09,5.096831e+08,-6.059916e+17,-6.239648e+17,-6.742414e+17,2.877465e+09,6.361931e+18,1.791131e+08,2.130672e+08,2.651486e+16,1.830246e+17,1.953765e+16,1,89
4.406787e+09,1.867486e+18,1.213052e+08,7.012157e+05,4.094468e+12,9.246362e+14,2.784892e+12,1.779634e+09,1.593579e+18,3.979443e+09,7.184415e+08,-1.143037e+18,-8.804793e+17,-1.105804e+18,3.145573e+09,7.262392e+18,5.028808e+07,7.112184e+07,-3.178752e+15,-1.638851e+17,-8.506590e+14,3,96
7.128086e+09,6.078804e+18,9.622863e+08,2.115417e+07,2.988073e+15,5.151937e+16,3.396994e+15,2.734926e+09,3.903880e+18,6.301131e+09,1.016373e+09,-2.557479e+18,-1.990242e+18,-2.400714e+18,5.152990e+09,1.973817e+19,4.192075e+08,2.506907e+08,-1.819878e+15,1.113757e+18,1.322951e+16,1,33
4.168525e+09,8.468793e+17,7.775951e+08,3.205369e+07,1.765486e+15,1.220293e+16,4.392790e+14,1.839573e+09,2.029212e+18,5.263616e+09,9.052880e+08,-1.943682e+18,-1.279614e+18,-1.828894e+18,2.745630e+09,5.474224e+18,4.253205e+07,2.026127e+08,1.064519e+16,2.698661e+17,-4.314250e+15,0,40
1.292698e+10,1.494311e+19,5.715609e+07,3.099555e+07,6.006823e+14,1.188460e+17,5.274505e+13,5.254223e+09,1.480497e+19,1.499050e+10,2.588696e+09,-1.548676e+19,-9.734536e+18,-1.383449e+19,9.101539e+09,6.083329e+19,5.491281e+08,3.383850e+08,-1.285084e+17,-1.981080e+18,-1.267979e+17,0,72
4.482030e+09,2.347209e+18,1.064267e+09,3.388472e+07,4.704558e+15,4.662868e+16,4.700527e+15,1.759477e+09,1.430003e+18,4.037411e+09,7.352419e+08,-1.266752e+18,-8.790365e+17,-1.310834e+18,3.287219e+09,7.449488e+18,5.028494e+08,2.657784e+08,3.002375e+16,7.204983e+17,2.780259e+16,0,97
3.697614e+09,9.593065e+17,1.864215e+08,7.765007e+06,-2.456229e+14,-5.180776e+15,-1.736894e+13,1.536681e+09,1.429305e+18,2.848589e+09,5.139778e+08,-5.530769e+17,-5.785909e+17,-5.100887e+17,2.508718e+09,4.688705e+18,2.635419e+07,6.870576e+07,2.128525e+15,-2.212478e+16,1.683363e+15,3,74
4.450856e+09,1.695036e+18,2.225762e+09,7.038069e+07,2.785599e+16,9.163024e+16,3.361480e+16,1.846553e+09,1.802382e+18,3.872207e+09,7.174017e+08,-1.055389e+18,-8.940580e+17,-1.044001e+18,3.110014e+09,6.782850e+18,1.817402e+08,3.703304e+08,5.328605e+16,8.688256e+17,-7.599898e+16,1,10
5.547446e+09,2.680460e+18,9.194617e+08,6.866651e+07,-1.403868e+16,-1.078572e+17,-5.621289e+15,2.357529e+09,2.411305e+18,6.472824e+09,1.314701e+09,-3.827055e+18,-2.039318e+18,-3.909948e+18,3.994737e+09,1.104259e+19,9.056737e+06,7.452164e+07,1.933842e+15,-2.476358e+17,7.465392e+14,3,67
4.742979e+09,2.167727e+18,2.589728e+09,1.952713e+08,8.968397e+16,2.563351e+17,8.986487e+16,2.026452e+09,1.558513e+18,4.787502e+09,1.211506e+09,-2.669674e+18,-1.433648e+18,-2.672297e+18,3.495905e+09,8.169542e+18,4.417022e+08,1.116169e+09,6.984713e+17,2.167109e+18,4.815409e+17,3,94
