j1,j2,j3,sample,subject
8.578635e+09,1.813099e+19,5.342526e+27,1,89
9.331994e+09,2.175804e+19,7.983836e+27,3,96
1.501600e+10,5.512188e+19,3.193007e+28,1,33
8.753728e+09,1.994880e+19,6.705407e+27,0,40
2.728275e+10,1.869704e+20,1.962909e+29,0,72
9.528726e+09,2.276346e+19,9.895655e+27,0,97
7.743013e+09,1.525009e+19,4.299667e+27,3,74
9.407423e+09,2.261180e+19,9.132787e+27,1,10
1.189971e+10,3.615567e+19,1.921734e+28,3,67
1.026534e+10,2.692792e+19,1.324590e+28,3,94
7.649441e+09,1.455571e+19,3.654102e+27,0,60
1.011591e+10,2.718966e+19,1.300706e+28,2,61
9.675379e+09,2.444933e+19,1.111718e+28,0,75
1.419696e+10,5.053909e+19,2.909021e+28,3,47
8.358151e+09,1.699947e+19,5.476339e+27,0,69
7.300172e+09,1.275568e+19,3.294026e+27,0,12
1.113822e+10,3.120685e+19,1.537623e+28,2,93
9.205642e+09,2.009576e+19,6.802733e+27,3,69
9.148501e+09,2.067814e+19,6.709780e+27,1,49
5.486926e+09,8.218420e+18,2.119415e+27,3,95
8.273247e+09,1.797236e+19,6.320650e+27,1,59
1.965110e+10,8.999889e+19,6.664834e+28,0,5
6.221436e+09,1.010550e+19,2.572500e+27,0,102
8.277373e+09,1.829373e+19,7.653677e+27,3,56
8.288547e+09,1.780069e+19,5.813221e+27,1,84
8.147561e+09,1.640069e+19,5.614861e+27,0,50
1.353674e+10,4.329792e+19,2.087097e+28,1,44
8.255897e+09,1.765875e+19,5.177964e+27,0,86
5.460856e+09,7.677323e+18,1.380945e+27,1,88
1.136320e+10,3.020277e+19,1.118138e+28,3,54
7.713101e+09,1.407084e+19,3.972082e+27,0,11
7.823063e+09,1.517634e+19,3.942035e+27,3,88
1.173691e+10,3.730195e+19,1.975600e+28,2,99
4.893417e+09,6.430855e+18,1.492156e+27,0,53
5.551903e+09,8.163523e+18,1.688640e+27,2,88
9.087510e+09,2.139476e+19,8.466734e+27,1,45
1.056590e+10,3.135977e+19,1.904562e+28,1,81
1.157371e+10,3.533289e+19,1.825300e+28,0,41
6.767743e+09,1.105645e+19,2.453703e+27,3,83
1.382196e+10,4.543911e+19,2.298117e+28,0,33
7.525421e+09,1.484909e+19,4.574415e+27,1,37
6.325918e+09,1.040837e+19,2.683670e+27,3,102
6.448998e+09,9.172389e+18,1.478837e+27,0,31
1.110377e+10,3.038503e+19,1.319316e+28,0,51
6.345459e+09,1.043292e+19,2.906783e+27,1,80
8.145981e+09,1.662848e+19,5.514261e+27,1,71
1.042372e+10,2.592069e+19,1.024342e+28,1,73
7.604273e+09,1.386869e+19,2.978218e+27,2,100
5.577931e+09,8.318355e+18,1.997914e+27,0,95
1.068132e+10,2.807350e+19,1.167751e+28,1,91
6.573639e+09,1.129115e+19,2.855797e+27,0,74
8.947725e+09,2.077789e+19,7.435895e+27,0,84
7.833751e+09,1.609045e+19,6.067009e+27,0,65
9.460304e+09,2.233621e+19,1.001746e+28,3,78
7.397488e+09,1.459797e+19,5.360299e+27,1,65
1.207292e+10,3.453243e+19,1.871800e+28,1,36
7.990780e+09,1.566705e+19,4.450140e+27,0,103
6.804006e+09,1.205270e+19,3.797026e+27,3,80
9.854451e+09,2.456684e+19,1.085708e+28,0,94
9.123742e+09,2.246427e+19,9.589096e+27,0,85
6.741421e+09,1.166449e+19,3.134334e+27,1,62
1.177172e+10,3.599328e+19,2.068847e+28,2,75
8.287347e+09,1.730912e+19,5.546147e+27,0,96
8.057152e+09,1.717534e+19,6.905719e+27,3,65
9.392251e+09,2.266629e+19,8.792822e+27,0,66
6.986334e+09,1.256946e+19,3.891345e+27,3,53
8.102097e+09,1.701113e+19,5.227062e+27,0,39
1.246290e+10,3.752583e+19,1.961806e+28,2,87
9.564977e+09,2.257938e+19,1.008852e+28,1,50
3.672637e+09,3.635127e+18,6.723862e+26,3,58
5.392766e+09,7.309694e+18,1.529559e+27,3,63
1.127451e+10,2.979097e+19,1.062019e+28,0,54
8.476477e+09,1.908890e+19,7.234318e+27,2,59
1.279159e+10,4.159302e+19,2.405807e+28,1,67
6.469992e+09,1.037803e+19,2.215701e+27,0,62
9.044498e+09,2.016103e+19,6.010549e+27,2,68
8.588337e+09,1.841042e+19,5.522145e+27,0,89
8.584082e+09,1.854931e+19,5.437872e+27,3,68
5.006904e+09,6.428741e+18,1.404587e+27,0,48
7.934936e+09,1.652825e+19,4.778916e+27,1,40
5.804761e+09,8.818557e+18,2.061068e+27,2,102
6.831323e+09,1.293807e+19,4.617120e+27,3,92
1.259378e+10,3.976126e+19,2.080035e+28,1,34
7.007885e+09,1.196234e+19,3.547103e+27,1,82
3.001419e+10,2.178116e+20,2.394673e+29,1,72
1.073004e+10,3.021055e+19,1.440160e+28,3,85
7.179752e+09,1.178769e+19,2.925903e+27,3,82
1.033240e+10,2.548954e+19,1.193686e+28,1,64
1.204022e+10,3.728132e+19,2.004079e+28,0,98
8.816052e+09,1.946041e+19,6.403552e+27,3,89
1.063828e+10,2.963933e+19,1.437172e+28,1,98
9.534689e+09,2.255112e+19,8.429404e+27,2,96
1.116599e+10,3.223559e+19,1.621875e+28,2,66
9.429884e+09,2.016380e+19,5.039934e+27,0,20
1.011742e+10,2.588631e+19,1.224225e+28,2,94
9.280854e+09,2.340622e+19,1.049412e+28,2,85
5.100533e+09,6.785750e+18,1.610044e+27,3,48
8.381021e+09,1.630809e+19,4.162151e+27,0,43
1.123074e+10,2.828848e+19,1.059620e+28,0,21
1.222154e+10,3.889633e+19,2.221396e+28,2,79
1.298490e+10,4.197577e+19,2.253588e+28,3,79
1.181109e+10,3.652678e+19,1.958959e+28,0,23
1.147043e+10,3.119689e+19,1.407335e+28,3,73
6.721746e+09,1.153186e+19,2.993580e+27,3,62
1.296197e+10,4.193760e+19,2.108265e+28,0,3
7.744511e+09,1.592330e+19,5.554438e+27,0,92
1.209463e+10,3.585637e+19,1.658711e+28,1,57
9.954235e+09,2.570691e+19,1.113072e+28,1,66
1.110881e+10,3.354912e+19,1.653286e+28,3,99
1.183203e+10,3.265679e+19,1.248247e+28,1,54
8.967972e+09,1.931669e+19,7.078662e+27,2,50
1.050846e+10,2.850270e+19,1.372231e+28,1,75
5.775857e+09,8.633878e+18,2.379648e+27,2,48
8.505863e+09,1.740059e+19,4.355317e+27,0,100
8.317015e+09,1.764870e+19,6.296113e+27,0,22
