dataset,hu1980,hututu,legendre,chebyshev,zernike
bs,24.23,37.63,60.31,62.89,22.16
bs-out,25.77,38.14,62.89,64.43,22.16
bs-out-d200,10.82,36.08,57.73,62.89,21.13
bs-out-d200-c60,28.35,57.73,70.62,68.56,28.35
bs-out-d200-c70,39.69,56.19,67.01,66.49,25.26
bs-out-d200-c80,36.6,56.19,70.62,65.98,25.26
bs-out-d200-c60-icp,44.33,71.65,86.6,82.47,84.02
bs-out-d200-c70-icp,48.45,69.59,91.75,85.05,84.02
bs-out-d200-c80-icp,46.91,65.46,94.33,87.63,88.14
bs-out-d225,14.95,35.57,59.28,59.79,20.1
bs-out-d225-c60,36.6,53.61,69.07,68.04,26.29
bs-out-d225-c70,35.57,50.0,72.68,63.92,25.26
bs-out-d225-c80,38.14,51.03,69.59,64.95,22.68
bs-out-d225-c60-icp,46.91,64.95,88.66,80.41,79.9
bs-out-d225-c70-icp,49.48,62.89,88.66,82.99,81.96
bs-out-d225-c80-icp,46.91,64.95,93.3,87.63,82.47
