dataset,hu1980,hututu,legendre,chebyshev,zernike
bs,23.2,56.19,69.59,72.16,23.2
bs-out,24.23,55.15,70.62,72.16,23.2
bs-out-d200,19.59,56.19,64.95,67.01,29.38
bs-out-d200-c60,51.03,75.26,68.56,70.62,29.9
bs-out-d200-c70,54.64,77.32,71.65,70.62,30.93
bs-out-d200-c80,51.55,73.2,71.13,74.74,28.35
bs-out-d200-c60-icp,46.91,76.8,89.69,86.6,85.57
bs-out-d200-c70-icp,53.09,79.38,89.18,88.14,86.08
bs-out-d200-c80-icp,55.15,80.41,90.72,92.78,91.24
bs-out-d225,20.1,50.52,64.95,66.49,29.38
bs-out-d225-c60,45.88,71.13,70.62,67.53,30.93
bs-out-d225-c70,56.19,76.8,73.2,69.59,29.38
bs-out-d225-c80,51.55,70.1,74.74,73.2,27.32
bs-out-d225-c60-icp,47.94,74.23,89.69,83.51,81.44
bs-out-d225-c70-icp,57.22,77.84,90.21,91.75,85.57
bs-out-d225-c80-icp,51.03,79.9,89.18,89.18,88.14
