setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,49.02
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",LDA,61.43
"[('frontal', 'spheric'), ('frontal', 'husiq')]",LDA,53.02
"[('frontal', 'spheric'), ('frontal', 'zernike')]",LDA,49.87
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,52.63
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,55.94
"[('frontal', 'spheric'), ('radial', 'spheric')]",LDA,52.75
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('radial', 'hu1980')]",LDA,60.39
"[('frontal', 'spheric'), ('radial', 'husiq')]",LDA,60.01
"[('frontal', 'spheric'), ('radial', 'zernike')]",DMC_manhattam,47.83
"[('frontal', 'spheric'), ('radial', 'legendre')]",LDA,57.16
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",KNN_manhattam,54.71
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,51.9
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,53.94
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",LDA,60.89
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",LDA,53.9
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",LDA,56.36
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,55.32
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,56.93
"[('frontal', 'spheric'), ('transversal', 'spheric')]",DMC_manhattam,53.63
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,63.77
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",LDA,64.69
"[('frontal', 'spheric'), ('transversal', 'husiq')]",LDA,63.23
"[('frontal', 'spheric'), ('transversal', 'zernike')]",LDA,57.59
"[('frontal', 'spheric'), ('transversal', 'legendre')]",DMC_manhattam,62.47
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",DMC_manhattam,63.16
"[('frontal', 'spheric'), ('whole', 'spheric')]",LDA,60.7
"[('frontal', 'spheric'), ('whole', 'hututu')]",LDA,58.51
"[('frontal', 'spheric'), ('whole', 'hu1980')]",LDA,61.35
"[('frontal', 'spheric'), ('whole', 'husiq')]",LDA,61.74
"[('frontal', 'spheric'), ('whole', 'zernike')]",LDA,53.55
"[('frontal', 'spheric'), ('whole', 'legendre')]",LDA,63.08
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",LDA,63.43
"[('frontal', 'spheric'), ('upper', 'spheric')]",LDA,63.04
"[('frontal', 'spheric'), ('upper', 'hututu')]",LDA,67.0
"[('frontal', 'spheric'), ('upper', 'hu1980')]",LDA,62.04
"[('frontal', 'spheric'), ('upper', 'husiq')]",LDA,65.23
"[('frontal', 'spheric'), ('upper', 'zernike')]",LDA,55.74
"[('frontal', 'spheric'), ('upper', 'legendre')]",LDA,66.65
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",LDA,70.34
"[('frontal', 'spheric'), ('lower', 'spheric')]",LDA,59.16
"[('frontal', 'spheric'), ('lower', 'hututu')]",LDA,53.4
"[('frontal', 'spheric'), ('lower', 'hu1980')]",LDA,60.51
