setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",DMC_manhattam,51.23
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",LDA,60.88
"[('frontal', 'spheric'), ('frontal', 'husiq')]",LDA,52.65
"[('frontal', 'spheric'), ('frontal', 'zernike')]",LDA,63.03
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,54.04
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,55.07
"[('frontal', 'spheric'), ('radial', 'spheric')]",LDA,54.8
"[('frontal', 'spheric'), ('radial', 'hututu')]",DMC_manhattam,53.61
"[('frontal', 'spheric'), ('radial', 'hu1980')]",LDA,60.15
"[('frontal', 'spheric'), ('radial', 'husiq')]",LDA,60.07
"[('frontal', 'spheric'), ('radial', 'zernike')]",DMC_manhattam,60.49
"[('frontal', 'spheric'), ('radial', 'legendre')]",LDA,55.27
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",DMC_manhattam,56.57
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",DMC_manhattam,53.11
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",DMC_manhattam,53.31
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",LDA,60.3
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",LDA,55.76
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",LDA,64.03
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",DMC_euclidean,56.23
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",DMC_manhattam,57.42
"[('frontal', 'spheric'), ('transversal', 'spheric')]",DMC_manhattam,56.15
"[('frontal', 'spheric'), ('transversal', 'hututu')]",DMC_manhattam,61.26
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",LDA,61.8
"[('frontal', 'spheric'), ('transversal', 'husiq')]",LDA,58.49
"[('frontal', 'spheric'), ('transversal', 'zernike')]",LDA,67.72
"[('frontal', 'spheric'), ('transversal', 'legendre')]",DMC_manhattam,60.72
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",DMC_manhattam,61.34
"[('frontal', 'spheric'), ('whole', 'spheric')]",LDA,60.03
"[('frontal', 'spheric'), ('whole', 'hututu')]",LDA,57.88
"[('frontal', 'spheric'), ('whole', 'hu1980')]",LDA,60.42
"[('frontal', 'spheric'), ('whole', 'husiq')]",LDA,59.68
"[('frontal', 'spheric'), ('whole', 'zernike')]",LDA,58.61
"[('frontal', 'spheric'), ('whole', 'legendre')]",LDA,61.11
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",LDA,59.42
"[('frontal', 'spheric'), ('upper', 'spheric')]",LDA,59.76
"[('frontal', 'spheric'), ('upper', 'hututu')]",LDA,61.57
"[('frontal', 'spheric'), ('upper', 'hu1980')]",LDA,60.57
"[('frontal', 'spheric'), ('upper', 'husiq')]",LDA,61.3
"[('frontal', 'spheric'), ('upper', 'zernike')]",DMC_manhattam,62.99
"[('frontal', 'spheric'), ('upper', 'legendre')]",LDA,63.45
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",LDA,62.41
"[('frontal', 'spheric'), ('lower', 'spheric')]",LDA,57.07
"[('frontal', 'spheric'), ('lower', 'hututu')]",LDA,55.88
"[('frontal', 'spheric'), ('lower', 'hu1980')]",LDA,60.11
"[('frontal', 'spheric'), ('lower', 'husiq')]",LDA,58.42
"[('frontal', 'spheric'), ('lower', 'zernike')]",DMC_manhattam,53.92
"[('frontal', 'spheric'), ('lower', 'legendre')]",LDA,57.46
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",LDA,53.42
"[('frontal', 'hututu'), ('frontal', 'husiq')]",LDA,50.23
"[('frontal', 'hututu'), ('frontal', 'zernike')]",LDA,55.88
"[('frontal', 'hututu'), ('frontal', 'legendre')]",DMC_manhattam,55.46
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",DMC_manhattam,55.46
"[('frontal', 'hututu'), ('radial', 'spheric')]",LDA,55.34
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,48.04
"[('frontal', 'hututu'), ('radial', 'hu1980')]",LDA,55.53
"[('frontal', 'hututu'), ('radial', 'husiq')]",LDA,57.76
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,57.8
"[('frontal', 'hututu'), ('radial', 'legendre')]",LDA,57.03
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",LDA,56.5
"[('frontal', 'hututu'), ('sagittal', 'spheric')]",DMC_euclidean,49.77
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",DMC_manhattam,49.42
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",LDA,55.38
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",LDA,54.04
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",LDA,56.65
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",DMC_manhattam,54.38
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",DMC_manhattam,54.53
"[('frontal', 'hututu'), ('transversal', 'spheric')]",DMC_manhattam,52.77
"[('frontal', 'hututu'), ('transversal', 'hututu')]",DMC_manhattam,56.38
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",LDA,55.61
"[('frontal', 'hututu'), ('transversal', 'husiq')]",LDA,57.15
"[('frontal', 'hututu'), ('transversal', 'zernike')]",LDA,61.88
"[('frontal', 'hututu'), ('transversal', 'legendre')]",DMC_manhattam,59.11
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",DMC_manhattam,58.84
"[('frontal', 'hututu'), ('whole', 'spheric')]",LDA,56.61
"[('frontal', 'hututu'), ('whole', 'hututu')]",LDA,55.27
"[('frontal', 'hututu'), ('whole', 'hu1980')]",LDA,54.77
"[('frontal', 'hututu'), ('whole', 'husiq')]",LDA,55.0
"[('frontal', 'hututu'), ('whole', 'zernike')]",LDA,56.38
"[('frontal', 'hututu'), ('whole', 'legendre')]",LDA,60.95
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",LDA,58.53
"[('frontal', 'hututu'), ('upper', 'spheric')]",LDA,54.96
"[('frontal', 'hututu'), ('upper', 'hututu')]",LDA,55.96
"[('frontal', 'hututu'), ('upper', 'hu1980')]",LDA,53.27
