setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,48.67
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",LDA,61.54
"[('frontal', 'spheric'), ('frontal', 'husiq')]",LDA,53.13
"[('frontal', 'spheric'), ('frontal', 'zernike')]",LDA,49.75
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,52.44
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,55.63
"[('frontal', 'spheric'), ('radial', 'spheric')]",LDA,53.48
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('radial', 'hu1980')]",LDA,58.86
"[('frontal', 'spheric'), ('radial', 'husiq')]",LDA,59.01
"[('frontal', 'spheric'), ('radial', 'zernike')]",DMC_manhattam,46.87
"[('frontal', 'spheric'), ('radial', 'legendre')]",LDA,53.36
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,51.75
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,52.9
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",LDA,59.78
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",LDA,53.82
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",LDA,55.44
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,54.4
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,56.36
"[('frontal', 'spheric'), ('transversal', 'spheric')]",DMC_manhattam,52.98
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,63.35
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",LDA,65.19
"[('frontal', 'spheric'), ('transversal', 'husiq')]",LDA,62.2
"[('frontal', 'spheric'), ('transversal', 'zernike')]",LDA,53.25
"[('frontal', 'spheric'), ('transversal', 'legendre')]",DMC_manhattam,61.24
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",DMC_manhattam,62.47
"[('frontal', 'spheric'), ('whole', 'spheric')]",LDA,60.55
"[('frontal', 'spheric'), ('whole', 'hututu')]",LDA,58.13
"[('frontal', 'spheric'), ('whole', 'hu1980')]",LDA,60.81
"[('frontal', 'spheric'), ('whole', 'husiq')]",LDA,61.04
"[('frontal', 'spheric'), ('whole', 'zernike')]",LDA,51.82
"[('frontal', 'spheric'), ('whole', 'legendre')]",LDA,63.31
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",LDA,62.04
"[('frontal', 'spheric'), ('upper', 'spheric')]",LDA,62.47
"[('frontal', 'spheric'), ('upper', 'hututu')]",LDA,66.0
"[('frontal', 'spheric'), ('upper', 'hu1980')]",LDA,61.47
"[('frontal', 'spheric'), ('upper', 'husiq')]",LDA,63.89
"[('frontal', 'spheric'), ('upper', 'zernike')]",LDA,53.86
"[('frontal', 'spheric'), ('upper', 'legendre')]",LDA,65.42
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",LDA,69.19
"[('frontal', 'spheric'), ('lower', 'spheric')]",LDA,58.39
"[('frontal', 'spheric'), ('lower', 'hututu')]",LDA,58.2
"[('frontal', 'spheric'), ('lower', 'hu1980')]",LDA,60.12
"[('frontal', 'spheric'), ('lower', 'husiq')]",LDA,61.51
"[('frontal', 'spheric'), ('lower', 'zernike')]",LDA,49.29
"[('frontal', 'spheric'), ('lower', 'legendre')]",LDA,56.78
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",LDA,57.86
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",LDA,50.4
"[('frontal', 'hututu'), ('frontal', 'husiq')]",LDA,47.83
"[('frontal', 'hututu'), ('frontal', 'zernike')]",LDA,39.57
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_manhattam,52.32
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,53.78
"[('frontal', 'hututu'), ('radial', 'spheric')]",LDA,50.44
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('radial', 'hu1980')]",LDA,48.41
"[('frontal', 'hututu'), ('radial', 'husiq')]",LDA,51.59
"[('frontal', 'hututu'), ('radial', 'zernike')]",DMC_manhattam,40.34
"[('frontal', 'hututu'), ('radial', 'legendre')]",LDA,54.21
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hututu'), ('sagittal', 'spheric')]",KNN_manhattam,47.64
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",KNN_manhattam,45.18
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",LDA,53.17
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",LDA,53.21
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",LDA,47.75
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_manhattam,50.94
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",KNN_manhattam,51.9
"[('frontal', 'hututu'), ('transversal', 'spheric')]",DMC_manhattam,48.37
"[('frontal', 'hututu'), ('transversal', 'hututu')]",KNN_manhattam,56.97
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",LDA,57.47
"[('frontal', 'hututu'), ('transversal', 'husiq')]",LDA,62.77
"[('frontal', 'hututu'), ('transversal', 'zernike')]",LDA,45.72
"[('frontal', 'hututu'), ('transversal', 'legendre')]",DMC_manhattam,56.82
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",DMC_manhattam,58.28
"[('frontal', 'hututu'), ('whole', 'spheric')]",LDA,57.36
"[('frontal', 'hututu'), ('whole', 'hututu')]",LDA,52.75
"[('frontal', 'hututu'), ('whole', 'hu1980')]",LDA,49.75
"[('frontal', 'hututu'), ('whole', 'husiq')]",LDA,52.86
"[('frontal', 'hututu'), ('whole', 'zernike')]",LDA,46.22
"[('frontal', 'hututu'), ('whole', 'legendre')]",LDA,60.32
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",LDA,60.74
"[('frontal', 'hututu'), ('upper', 'spheric')]",LDA,59.12
"[('frontal', 'hututu'), ('upper', 'hututu')]",LDA,58.39
"[('frontal', 'hututu'), ('upper', 'hu1980')]",LDA,49.71
"[('frontal', 'hututu'), ('upper', 'husiq')]",LDA,56.09
"[('frontal', 'hututu'), ('upper', 'zernike')]",LDA,48.25
"[('frontal', 'hututu'), ('upper', 'legendre')]",LDA,64.2
"[('frontal', 'hututu'), ('upper', 'chebyshev')]",LDA,64.16
"[('frontal', 'hututu'), ('lower', 'spheric')]",LDA,49.64
"[('frontal', 'hututu'), ('lower', 'hututu')]",LDA,51.59
"[('frontal', 'hututu'), ('lower', 'hu1980')]",LDA,47.64
"[('frontal', 'hututu'), ('lower', 'husiq')]",LDA,50.6
"[('frontal', 'hututu'), ('lower', 'zernike')]",LDA,42.07
"[('frontal', 'hututu'), ('lower', 'legendre')]",LDA,52.52
"[('frontal', 'hututu'), ('lower', 'chebyshev')]",LDA,52.13
"[('frontal', 'hu1980'), ('frontal', 'husiq')]",LDA,59.09
"[('frontal', 'hu1980'), ('frontal', 'zernike')]",KNN_manhattam,36.04
"[('frontal', 'hu1980'), ('frontal', 'legendre')]",LDA,63.85
"[('frontal', 'hu1980'), ('frontal', 'chebyshev')]",LDA,64.66
"[('frontal', 'hu1980'), ('radial', 'spheric')]",LDA,62.39
"[('frontal', 'hu1980'), ('radial', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'hu1980'), ('radial', 'hu1980')]",LDA,51.06
"[('frontal', 'hu1980'), ('radial', 'husiq')]",LDA,57.05
"[('frontal', 'hu1980'), ('radial', 'zernike')]",LDA,50.02
"[('frontal', 'hu1980'), ('radial', 'legendre')]",LDA,66.54
"[('frontal', 'hu1980'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hu1980'), ('sagittal', 'spheric')]",LDA,64.16
"[('frontal', 'hu1980'), ('sagittal', 'hututu')]",LDA,55.13
"[('frontal', 'hu1980'), ('sagittal', 'hu1980')]",LDA,62.54
"[('frontal', 'hu1980'), ('sagittal', 'husiq')]",LDA,62.04
"[('frontal', 'hu1980'), ('sagittal', 'zernike')]",KNN_euclidean,35.65
"[('frontal', 'hu1980'), ('sagittal', 'legendre')]",LDA,72.49
"[('frontal', 'hu1980'), ('sagittal', 'chebyshev')]",LDA,72.72
"[('frontal', 'hu1980'), ('transversal', 'spheric')]",LDA,77.56
"[('frontal', 'hu1980'), ('transversal', 'hututu')]",LDA,76.49
"[('frontal', 'hu1980'), ('transversal', 'hu1980')]",LDA,72.69
"[('frontal', 'hu1980'), ('transversal', 'husiq')]",LDA,73.53
"[('frontal', 'hu1980'), ('transversal', 'zernike')]",KNN_manhattam,36.46
"[('frontal', 'hu1980'), ('transversal', 'legendre')]",LDA,81.67
"[('frontal', 'hu1980'), ('transversal', 'chebyshev')]",LDA,79.29
"[('frontal', 'hu1980'), ('whole', 'spheric')]",LDA,69.77
"[('frontal', 'hu1980'), ('whole', 'hututu')]",LDA,62.2
"[('frontal', 'hu1980'), ('whole', 'hu1980')]",LDA,58.28
"[('frontal', 'hu1980'), ('whole', 'husiq')]",LDA,60.85
"[('frontal', 'hu1980'), ('whole', 'zernike')]",LDA,56.13
"[('frontal', 'hu1980'), ('whole', 'legendre')]",LDA,71.76
"[('frontal', 'hu1980'), ('whole', 'chebyshev')]",LDA,73.42
"[('frontal', 'hu1980'), ('upper', 'spheric')]",LDA,73.57
"[('frontal', 'hu1980'), ('upper', 'hututu')]",LDA,73.84
"[('frontal', 'hu1980'), ('upper', 'hu1980')]",LDA,58.39
"[('frontal', 'hu1980'), ('upper', 'husiq')]",LDA,69.0
"[('frontal', 'hu1980'), ('upper', 'zernike')]",LDA,57.59
"[('frontal', 'hu1980'), ('upper', 'legendre')]",LDA,76.64
"[('frontal', 'hu1980'), ('upper', 'chebyshev')]",LDA,76.91
"[('frontal', 'hu1980'), ('lower', 'spheric')]",LDA,59.78
"[('frontal', 'hu1980'), ('lower', 'hututu')]",LDA,59.01
"[('frontal', 'hu1980'), ('lower', 'hu1980')]",LDA,54.48
"[('frontal', 'hu1980'), ('lower', 'husiq')]",LDA,58.36
"[('frontal', 'hu1980'), ('lower', 'zernike')]",LDA,46.29
"[('frontal', 'hu1980'), ('lower', 'legendre')]",LDA,58.86
"[('frontal', 'hu1980'), ('lower', 'chebyshev')]",LDA,60.7
"[('frontal', 'husiq'), ('frontal', 'zernike')]",LDA,39.34
"[('frontal', 'husiq'), ('frontal', 'legendre')]",LDA,59.12
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",KNN_manhattam,56.24
"[('frontal', 'husiq'), ('radial', 'spheric')]",LDA,60.05
"[('frontal', 'husiq'), ('radial', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'husiq'), ('radial', 'hu1980')]",LDA,51.21
"[('frontal', 'husiq'), ('radial', 'husiq')]",LDA,54.55
"[('frontal', 'husiq'), ('radial', 'zernike')]",LDA,44.87
"[('frontal', 'husiq'), ('radial', 'legendre')]",LDA,64.62
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'husiq'), ('sagittal', 'spheric')]",LDA,55.32
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",LDA,52.36
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",LDA,57.24
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",LDA,56.78
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",LDA,47.79
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",LDA,66.69
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",LDA,64.69
"[('frontal', 'husiq'), ('transversal', 'spheric')]",LDA,69.8
"[('frontal', 'husiq'), ('transversal', 'hututu')]",LDA,72.03
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",LDA,65.04
"[('frontal', 'husiq'), ('transversal', 'husiq')]",LDA,68.42
"[('frontal', 'husiq'), ('transversal', 'zernike')]",LDA,45.33
"[('frontal', 'husiq'), ('transversal', 'legendre')]",LDA,72.26
