setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,35.34
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",LDA,43.14
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,36.0
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,36.92
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,37.15
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,38.07
"[('frontal', 'spheric'), ('radial', 'spheric')]",LDA,44.33
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,41.45
"[('frontal', 'spheric'), ('radial', 'hu1980')]",LDA,43.8
"[('frontal', 'spheric'), ('radial', 'husiq')]",LDA,43.8
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,43.33
"[('frontal', 'spheric'), ('radial', 'legendre')]",LDA,47.18
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,38.42
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,37.8
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",LDA,44.45
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",LDA,38.99
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",LDA,41.3
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,42.49
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,44.56
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,44.6
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,47.52
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",LDA,48.02
"[('frontal', 'spheric'), ('transversal', 'husiq')]",LDA,45.87
"[('frontal', 'spheric'), ('transversal', 'zernike')]",LDA,45.72
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,48.67
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,48.71
"[('frontal', 'spheric'), ('whole', 'spheric')]",LDA,43.53
"[('frontal', 'spheric'), ('whole', 'hututu')]",LDA,41.72
"[('frontal', 'spheric'), ('whole', 'hu1980')]",LDA,43.53
"[('frontal', 'spheric'), ('whole', 'husiq')]",LDA,42.18
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,43.26
"[('frontal', 'spheric'), ('whole', 'legendre')]",LDA,46.64
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",LDA,45.99
"[('frontal', 'spheric'), ('upper', 'spheric')]",LDA,47.52
"[('frontal', 'spheric'), ('upper', 'hututu')]",LDA,45.91
"[('frontal', 'spheric'), ('upper', 'hu1980')]",LDA,43.8
"[('frontal', 'spheric'), ('upper', 'husiq')]",LDA,46.87
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,42.03
"[('frontal', 'spheric'), ('upper', 'legendre')]",LDA,51.63
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",LDA,51.94
"[('frontal', 'spheric'), ('lower', 'spheric')]",LDA,39.38
"[('frontal', 'spheric'), ('lower', 'hututu')]",LDA,40.11
"[('frontal', 'spheric'), ('lower', 'hu1980')]",LDA,41.61
"[('frontal', 'spheric'), ('lower', 'husiq')]",LDA,41.72
"[('frontal', 'spheric'), ('lower', 'zernike')]",LDA,39.68
"[('frontal', 'spheric'), ('lower', 'legendre')]",LDA,40.18
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",LDA,39.3
"[('frontal', 'hututu'), ('frontal', 'husiq')]",LDA,34.69
"[('frontal', 'hututu'), ('frontal', 'zernike')]",LDA,34.42
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_manhattam,38.99
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,39.84
"[('frontal', 'hututu'), ('radial', 'spheric')]",LDA,49.87
"[('frontal', 'hututu'), ('radial', 'hututu')]",LDA,42.3
"[('frontal', 'hututu'), ('radial', 'hu1980')]",LDA,41.95
"[('frontal', 'hututu'), ('radial', 'husiq')]",LDA,45.02
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,38.46
"[('frontal', 'hututu'), ('radial', 'legendre')]",LDA,53.67
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hututu'), ('sagittal', 'spheric')]",KNN_manhattam,36.57
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",LDA,35.15
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",LDA,42.3
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",LDA,42.53
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",KNN_manhattam,35.46
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_manhattam,41.38
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",KNN_euclidean,44.22
"[('frontal', 'hututu'), ('transversal', 'spheric')]",DMC_manhattam,43.72
"[('frontal', 'hututu'), ('transversal', 'hututu')]",KNN_manhattam,43.49
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",LDA,44.37
"[('frontal', 'hututu'), ('transversal', 'husiq')]",LDA,49.94
"[('frontal', 'hututu'), ('transversal', 'zernike')]",LDA,40.11
"[('frontal', 'hututu'), ('transversal', 'legendre')]",KNN_manhattam,49.1
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",DMC_manhattam,48.91
"[('frontal', 'hututu'), ('whole', 'spheric')]",LDA,45.26
"[('frontal', 'hututu'), ('whole', 'hututu')]",LDA,41.95
"[('frontal', 'hututu'), ('whole', 'hu1980')]",LDA,40.76
"[('frontal', 'hututu'), ('whole', 'husiq')]",LDA,42.95
"[('frontal', 'hututu'), ('whole', 'zernike')]",LDA,40.22
"[('frontal', 'hututu'), ('whole', 'legendre')]",LDA,46.95
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",LDA,48.29
"[('frontal', 'hututu'), ('upper', 'spheric')]",LDA,48.64
"[('frontal', 'hututu'), ('upper', 'hututu')]",LDA,45.83
"[('frontal', 'hututu'), ('upper', 'hu1980')]",LDA,41.76
"[('frontal', 'hututu'), ('upper', 'husiq')]",LDA,45.68
"[('frontal', 'hututu'), ('upper', 'zernike')]",LDA,40.53
"[('frontal', 'hututu'), ('upper', 'legendre')]",LDA,51.21
"[('frontal', 'hututu'), ('upper', 'chebyshev')]",LDA,52.48
"[('frontal', 'hututu'), ('lower', 'spheric')]",LDA,39.61
"[('frontal', 'hututu'), ('lower', 'hututu')]",LDA,38.11
"[('frontal', 'hututu'), ('lower', 'hu1980')]",LDA,38.07
"[('frontal', 'hututu'), ('lower', 'husiq')]",LDA,39.99
"[('frontal', 'hututu'), ('lower', 'zernike')]",LDA,36.5
"[('frontal', 'hututu'), ('lower', 'legendre')]",LDA,40.72
"[('frontal', 'hututu'), ('lower', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hu1980'), ('frontal', 'husiq')]",LDA,39.26
"[('frontal', 'hu1980'), ('frontal', 'zernike')]",KNN_manhattam,31.43
"[('frontal', 'hu1980'), ('frontal', 'legendre')]",LDA,49.75
"[('frontal', 'hu1980'), ('frontal', 'chebyshev')]",LDA,49.06
"[('frontal', 'hu1980'), ('radial', 'spheric')]",LDA,61.43
"[('frontal', 'hu1980'), ('radial', 'hututu')]",LDA,50.02
"[('frontal', 'hu1980'), ('radial', 'hu1980')]",LDA,38.69
"[('frontal', 'hu1980'), ('radial', 'husiq')]",LDA,47.41
"[('frontal', 'hu1980'), ('radial', 'zernike')]",LDA,43.14
"[('frontal', 'hu1980'), ('radial', 'legendre')]",LDA,67.73
"[('frontal', 'hu1980'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'hu1980'), ('sagittal', 'spheric')]",LDA,52.32
"[('frontal', 'hu1980'), ('sagittal', 'hututu')]",LDA,45.14
"[('frontal', 'hu1980'), ('sagittal', 'hu1980')]",LDA,45.49
"[('frontal', 'hu1980'), ('sagittal', 'husiq')]",LDA,47.98
"[('frontal', 'hu1980'), ('sagittal', 'zernike')]",KNN_euclidean,33.73
"[('frontal', 'hu1980'), ('sagittal', 'legendre')]",LDA,59.93
"[('frontal', 'hu1980'), ('sagittal', 'chebyshev')]",LDA,60.01
"[('frontal', 'hu1980'), ('transversal', 'spheric')]",LDA,56.93
"[('frontal', 'hu1980'), ('transversal', 'hututu')]",LDA,52.94
"[('frontal', 'hu1980'), ('transversal', 'hu1980')]",LDA,45.68
"[('frontal', 'hu1980'), ('transversal', 'husiq')]",LDA,56.43
"[('frontal', 'hu1980'), ('transversal', 'zernike')]",KNN_euclidean,35.04
"[('frontal', 'hu1980'), ('transversal', 'legendre')]",LDA,62.47
"[('frontal', 'hu1980'), ('transversal', 'chebyshev')]",LDA,56.13
"[('frontal', 'hu1980'), ('whole', 'spheric')]",LDA,48.41
"[('frontal', 'hu1980'), ('whole', 'hututu')]",LDA,36.46
"[('frontal', 'hu1980'), ('whole', 'hu1980')]",LDA,36.11
"[('frontal', 'hu1980'), ('whole', 'husiq')]",LDA,38.8
"[('frontal', 'hu1980'), ('whole', 'zernike')]",LDA,45.52
"[('frontal', 'hu1980'), ('whole', 'legendre')]",LDA,53.13
"[('frontal', 'hu1980'), ('whole', 'chebyshev')]",LDA,53.36
"[('frontal', 'hu1980'), ('upper', 'spheric')]",LDA,55.78
"[('frontal', 'hu1980'), ('upper', 'hututu')]",LDA,51.21
"[('frontal', 'hu1980'), ('upper', 'hu1980')]",LDA,36.5
"[('frontal', 'hu1980'), ('upper', 'husiq')]",LDA,48.18
"[('frontal', 'hu1980'), ('upper', 'zernike')]",LDA,45.29
"[('frontal', 'hu1980'), ('upper', 'legendre')]",LDA,61.97
"[('frontal', 'hu1980'), ('upper', 'chebyshev')]",LDA,61.85
