setting,classifier,rate
"[('frontal', 'husiq'), ('frontal', 'hututu')]",DMC_manhattam,49.58
"[('frontal', 'husiq'), ('frontal', 'hu1980')]",KNN_euclidean,50.12
"[('frontal', 'husiq'), ('frontal', 'legendre')]",DMC_manhattam,61.99
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",DMC_manhattam,62.14
"[('frontal', 'husiq'), ('frontal', 'zernike')]",DMC_manhattam,55.92
"[('frontal', 'husiq'), ('radial', 'husiq')]",KNN_euclidean,58.42
"[('frontal', 'husiq'), ('radial', 'hututu')]",DMC_manhattam,59.22
"[('frontal', 'husiq'), ('radial', 'hu1980')]",DMC_manhattam,53.27
"[('frontal', 'husiq'), ('radial', 'legendre')]",DMC_manhattam,64.99
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",DMC_manhattam,66.18
"[('frontal', 'husiq'), ('radial', 'zernike')]",DMC_manhattam,64.3
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",DMC_manhattam,51.88
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",DMC_manhattam,49.77
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",DMC_manhattam,52.5
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",KNN_euclidean,59.76
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",KNN_euclidean,56.73
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",MLP,57.3
"[('frontal', 'husiq'), ('transversal', 'husiq')]",DMC_manhattam,59.84
"[('frontal', 'husiq'), ('transversal', 'hututu')]",DMC_manhattam,61.95
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",KNN_euclidean,52.92
"[('frontal', 'husiq'), ('transversal', 'legendre')]",DMC_manhattam,65.83
"[('frontal', 'husiq'), ('transversal', 'chebyshev')]",DMC_manhattam,62.87
"[('frontal', 'husiq'), ('transversal', 'zernike')]",DMC_manhattam,58.38
"[('frontal', 'husiq'), ('whole', 'husiq')]",KNN_euclidean,53.54
"[('frontal', 'husiq'), ('whole', 'hututu')]",DMC_manhattam,52.73
"[('frontal', 'husiq'), ('whole', 'hu1980')]",KNN_euclidean,51.27
"[('frontal', 'husiq'), ('whole', 'legendre')]",KNN_euclidean,57.46
"[('frontal', 'husiq'), ('whole', 'chebyshev')]",KNN_euclidean,56.26
"[('frontal', 'husiq'), ('whole', 'zernike')]",KNN_euclidean,61.38
"[('frontal', 'husiq'), ('upper', 'husiq')]",DMC_manhattam,51.84
"[('frontal', 'husiq'), ('upper', 'hututu')]",DMC_manhattam,55.15
"[('frontal', 'husiq'), ('upper', 'hu1980')]",DMC_manhattam,50.73
"[('frontal', 'husiq'), ('upper', 'legendre')]",DMC_manhattam,56.38
"[('frontal', 'husiq'), ('upper', 'chebyshev')]",DMC_manhattam,53.88
"[('frontal', 'husiq'), ('upper', 'zernike')]",DMC_manhattam,65.72
"[('frontal', 'husiq'), ('lower', 'husiq')]",DMC_manhattam,48.81
"[('frontal', 'husiq'), ('lower', 'hututu')]",DMC_manhattam,48.16
"[('frontal', 'husiq'), ('lower', 'hu1980')]",DMC_manhattam,50.31
"[('frontal', 'husiq'), ('lower', 'legendre')]",DMC_manhattam,49.88
"[('frontal', 'husiq'), ('lower', 'chebyshev')]",DMC_manhattam,52.46
"[('frontal', 'husiq'), ('lower', 'zernike')]",DMC_manhattam,54.69
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",DMC_manhattam,50.35
"[('frontal', 'hututu'), ('frontal', 'legendre')]",DMC_manhattam,59.26
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",DMC_manhattam,60.91
"[('frontal', 'hututu'), ('frontal', 'zernike')]",DMC_manhattam,56.03
"[('frontal', 'hututu'), ('radial', 'husiq')]",DMC_manhattam,58.69
"[('frontal', 'hututu'), ('radial', 'hututu')]",DMC_manhattam,60.53
"[('frontal', 'hututu'), ('radial', 'hu1980')]",DMC_manhattam,51.88
"[('frontal', 'hututu'), ('radial', 'legendre')]",DMC_manhattam,63.72
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",DMC_manhattam,65.56
"[('frontal', 'hututu'), ('radial', 'zernike')]",DMC_manhattam,65.76
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",DMC_manhattam,51.58
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",DMC_manhattam,51.08
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",DMC_manhattam,50.46
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_euclidean,59.11
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",DMC_manhattam,56.57
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",MLP,60.18
"[('frontal', 'hututu'), ('transversal', 'husiq')]",DMC_manhattam,59.26
"[('frontal', 'hututu'), ('transversal', 'hututu')]",DMC_manhattam,60.8
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",DMC_manhattam,51.46
"[('frontal', 'hututu'), ('transversal', 'legendre')]",DMC_manhattam,64.72
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",DMC_manhattam,61.95
"[('frontal', 'hututu'), ('transversal', 'zernike')]",DMC_manhattam,59.65
"[('frontal', 'hututu'), ('whole', 'husiq')]",DMC_manhattam,51.15
"[('frontal', 'hututu'), ('whole', 'hututu')]",DMC_manhattam,52.04
"[('frontal', 'hututu'), ('whole', 'hu1980')]",DMC_manhattam,49.08
"[('frontal', 'hututu'), ('whole', 'legendre')]",DMC_manhattam,55.38
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",DMC_manhattam,54.11
"[('frontal', 'hututu'), ('whole', 'zernike')]",KNN_euclidean,59.03
"[('frontal', 'hututu'), ('upper', 'husiq')]",DMC_manhattam,50.54
"[('frontal', 'hututu'), ('upper', 'hututu')]",DMC_manhattam,52.61
"[('frontal', 'hututu'), ('upper', 'hu1980')]",DMC_manhattam,48.08
"[('frontal', 'hututu'), ('upper', 'legendre')]",DMC_manhattam,53.84
"[('frontal', 'hututu'), ('upper', 'chebyshev')]",DMC_manhattam,53.11
