id,sample,mu,sigma
96,0,31.972204040947375,12.093864401691622
20,0,31.791181259721537,12.441117915884364
54,0,32.83527258081822,12.398295620516945
70,0,32.188382878092575,12.063216041418872
10,0,31.974866484071512,12.169437735834883
45,0,31.14221406256897,11.332938954862101
60,0,31.90641864285903,12.029148529892062
40,0,32.447449666329895,11.791562880487607
57,0,33.094695398090316,12.476141442431851
77,0,32.72661676999564,12.253025714166565
27,0,34.91478477000173,13.784047508520494
82,0,30.735802960251284,11.90745322612543
101,0,32.346448298300515,12.050907988607499
36,0,31.39798509248534,11.669724267131878
84,0,31.786877360367537,11.875673931573834
37,0,33.19823470982812,12.544395685185266
19,0,31.328697151375057,-11.380647462216112
97,0,32.71356367089392,12.856829886172912
98,0,35.06405457515822,13.491960193551291
11,0,31.44091159861644,12.06661222529671
88,0,30.842614875612295,11.631462372858975
17,0,35.512783878793456,14.259884736215627
13,0,29.0306329042156,10.714853592793574
31,0,30.70177153177314,11.918098894602563
20,0,32.502403831632655,12.9137985164141
0,0,33.11429096273886,12.813611934948527
35,0,33.13471806529998,12.590154397566415
53,0,29.748734184675854,11.318050983361857
41,0,32.963373267435955,11.631293468935837
12,0,31.408485971842364,-12.00463160475252
30,0,34.552635690823436,13.766151847121272
92,0,30.50131592666506,11.398608121401116
23,0,34.971538956734115,13.327641161215322
25,0,32.200759099113235,11.965365741782861
15,0,30.22801623111892,11.785419296450934
18,0,29.498839547769265,11.185873718790798
28,0,31.687280351342974,-11.453660116849079
96,0,31.915449382660327,11.953895672671981
57,0,32.4214191179377,12.279811618574557
41,0,37.00650292833235,14.962241850552592
79,0,34.00727915568615,-12.824462372879005
26,0,32.585862720414056,11.872552207383986
49,0,33.6425087323828,12.654083247180354
95,0,30.282769202155638,11.513071847146044
61,0,33.2548207463116,12.575678841611143
99,0,35.09271881857084,13.61058969459902
85,0,32.86787810305591,12.736843532324
4,0,33.77335222995839,13.252103899692031
30,0,32.22728362055129,12.148389795339073
34,0,34.25502828445501,13.027193893313589
11,0,31.59965764841876,12.357206768228886
32,0,34.27522316101148,13.012965615291758
19,0,32.35856348323027,12.16081390132059
56,0,32.47156667461065,12.490599094520352
57,0,34.879307556536396,13.744759659330766
24,0,34.20333893155987,12.966219902125683
24,0,33.97577637436735,13.183758021040145
104,0,33.18847745436466,12.400794619944195
16,0,35.02948461760011,14.176456509137658
24,0,34.464159293132376,13.032509090144433
93,0,33.410989492382846,13.03614097977735
2,0,36.2501480555296,14.28098609614757
94,0,33.17514700840196,12.28536414908413
101,0,31.61262139130479,11.873739231785768
8,0,34.318872608846064,13.133352359622181
41,0,34.24242824998138,13.159472074775048
19,0,32.070098875147735,11.975100674634735
71,0,30.9531124914914,11.620298242600409
50,0,30.603200477694685,11.54050306824819
96,0,31.482717273706484,11.801935172502306
67,0,34.12633839567857,13.371279540046617
53,0,29.516379095095033,10.917935213175221
104,0,33.26990251950089,12.43652763577132
35,0,34.003081437185294,12.856280741232927
38,0,32.97942679919956,12.836305459122475
98,0,34.87448761062038,13.696658575072275
100,0,31.962832485330164,12.264839704050692
74,0,31.379766265907033,12.166939604595694
31,0,29.882414717499817,11.682347227916523
99,0,35.05501586443298,13.237145442365195
72,0,40.33992417211921,15.72785576797843
87,0,35.370829989631055,14.152779155522342
4,0,33.91637629203152,13.527011613804536
92,0,32.93661124285876,12.603834456551887
31,0,30.290043379444825,11.679305917994055
25,0,33.10690447937531,13.117194743460159
57,0,32.316996021213335,12.082394321171465
