id,sample,mu,sigma
91,2,32.106295200064054,12.025575137993558
35,1,34.35178112993225,13.496810111229044
92,0,31.298592581027325,-11.320407340033732
23,0,34.59937663585574,12.991679394923977
87,1,33.861456223287064,12.902486591189861
90,0,29.65649172095326,11.073212385702
63,0,28.983898661546423,10.704831449267328
42,1,32.47004362749586,12.053619018794674
61,2,32.89546329346752,12.480113032949692
82,2,30.657289056636902,12.181126511411751
67,2,34.818591570912,13.800500268722686
48,1,28.63622956057997,10.383139871972597
26,0,32.98177151581416,12.250199351587893
46,1,31.319475286315875,12.397396864201012
78,3,32.01460650182631,11.923807122960776
60,1,31.57333768070264,11.96408496345451
28,0,30.902771574630687,11.532057700971224
42,0,32.72931085771573,11.912433532875257
12,2,30.39720777065434,11.533751541721205
74,1,31.338378315324466,11.866524700985208
47,0,35.35945226692894,13.419768537334344
69,1,32.05225696169941,-12.29264283194997
74,0,30.962898883076008,12.094525456529396
96,0,32.02163462492025,12.565213090507163
60,3,31.392011660867553,12.040322388432775
44,0,34.179592960167355,13.129603714576835
94,0,32.43147930480937,12.083340396689813
83,0,31.19603571967826,12.107061985830736
10,0,31.7769868495449,12.027629524239016
38,1,31.869489764399713,-12.418709820293463
88,0,30.97575540617831,11.934407024459745
103,2,32.04917949567097,12.56487104279044
12,0,30.201038419356987,11.425704319756232
47,2,35.855251476146286,13.283072424192554
39,0,32.760482082179756,12.222372323883144
100,2,31.678545520290363,12.50226798222596
0,0,33.57800519638239,13.517864831028284
88,1,29.29442059259418,10.71532497338234
24,0,34.27927503330759,13.41047108129876
96,1,32.12554065897709,12.225423874637404
71,1,30.96184500041217,11.389597807380166
45,0,31.92900188126012,-11.802588200753657
8,0,34.602748117765465,12.945715422320417
101,0,32.381015625046565,12.34887383462873
34,1,33.598319925223095,12.536503509893624
25,1,32.014904541022524,12.241569457285054
54,3,32.90018881544428,12.435336188132604
104,3,33.356561821172726,12.634421413748175
66,1,32.763012596916546,12.073302540574174
27,0,35.59941946447126,13.901005027330912
37,1,32.02046951286864,11.92698541662678
76,2,33.19246232804155,11.855429778570267
76,3,33.09927498836147,12.244823948905696
66,2,33.57441283404047,12.50242132342535
22,0,32.92712021973494,12.447428102782439
71,0,31.311859649661727,12.347574519184082
3,0,33.784386981324175,13.337776973274792
13,0,29.34609764322037,11.20343666095809
80,1,30.448038104259467,11.61234333475579
46,0,31.01297766388554,11.405373681501542
68,3,31.83155748179795,-11.766329730831664
69,0,31.831372564275064,-12.09425187899134
89,3,31.973271643597307,-11.984104243463378
55,1,30.713303359774294,11.295913332155072
93,0,33.436288957289314,12.703933211775107
52,2,30.728285383727055,11.668843012300263
59,0,31.495743117020023,11.990362832722973
40,1,32.41125026656197,12.10858777643098
97,3,32.16951295718243,12.316876097438298
7,0,35.16966342139498,13.821715005456833
78,2,32.15647884768674,12.319470264785814
51,0,34.00221367594836,-13.485255248994335
90,3,29.758242464568074,10.895296074774894
103,3,31.86807814305666,12.396223816618686
79,2,34.15732350986471,-13.081851925420189
33,0,36.336263531191086,14.213063623722379
87,3,34.13871944814214,13.493366306213549
63,3,28.92705262072074,10.548293618741477
102,1,31.34164787533807,12.272162255887636
77,1,32.44231999421705,12.696145511711778
61,3,32.7135601219408,12.24710039684324
19,0,31.925575625673687,-11.821065804461556
57,1,33.01749884096941,12.462922646656182
37,2,32.69678679834556,11.904314804805923
43,1,31.694480332929384,12.303469760141295
71,3,31.26245986669718,-12.002709826821821
104,2,33.290753369857626,12.558505104143103
70,1,32.88117606085825,12.54428271262441
86,1,32.38201824386611,12.767313118330236
95,1,29.841893780173883,10.86883655081942
14,0,30.54346744898991,11.81954255155922
102,2,30.40399801272971,11.884695830775696
102,3,30.617760839207396,11.774912664807134
61,0,32.29291078061045,12.097092910688056
75,3,32.768051704343364,12.29357006695623
41,1,34.523265710252275,13.256641732528383
62,1,29.952639546873815,11.151173420292645
91,1,32.70631431312302,12.748380841337307
93,3,33.81348817986781,12.7392505470406
4,0,34.82914086512991,13.62341740652527
71,2,31.687866978142953,12.434974148409328
70,3,32.914578055818666,12.78583214179371
81,2,34.516184027554736,-13.559995385466848
97,2,32.779632790613185,12.473776969646757
2,0,36.07951090578078,14.396350372058635
