dataset,hu1980,hututu,legendre,chebyshev,zernike
bs,5.67,14.95,25.77,31.44,20.1
bs-out,12.89,41.24,53.61,57.22,20.1
bs-out-d200,10.31,35.57,50.52,51.03,24.23
bs-out-d200-c60,25.26,54.64,60.31,56.19,27.84
bs-out-d200-c70,24.74,53.61,61.34,56.7,25.26
bs-out-d200-c80,27.32,54.64,59.28,53.09,24.23
bs-out-d200-c60-icp,27.84,59.28,82.47,59.28,89.18
bs-out-d200-c70-icp,26.29,60.31,84.54,60.31,89.69
bs-out-d200-c80-icp,27.84,60.31,86.08,60.31,93.3
bs-out-d225,10.82,32.47,45.88,50.52,23.2
bs-out-d225-c60,23.2,51.55,58.76,53.09,28.35
bs-out-d225-c70,25.26,47.94,58.25,54.12,26.8
bs-out-d225-c80,26.8,51.03,57.22,49.48,25.26
bs-out-d225-c60-icp,24.74,55.15,83.51,55.15,88.66
bs-out-d225-c70-icp,25.26,59.79,82.99,59.79,88.14
bs-out-d225-c80-icp,27.32,56.7,83.51,56.7,88.14
