5.996069e+05,3.959610e+10,6.422183e+14,2,76,N,N
4.488094e+05,3.621772e+10,7.923174e+14,1,41,N,N
6.423085e+05,7.239570e+10,1.768986e+15,0,46,N,N
4.695443e+05,4.880824e+10,1.354434e+15,2,96,N,N
3.655340e+05,2.805811e+10,6.121007e+14,0,58,N,N
5.979668e+05,6.219689e+10,1.450871e+15,1,103,N,N
3.069970e+05,2.360944e+10,5.241576e+14,2,55,N,N
6.104397e+05,6.749397e+10,1.337093e+15,2,84,N,N
6.671898e+05,7.160321e+10,1.342213e+15,0,29,N,N
4.570613e+05,3.823718e+10,8.188246e+14,0,52,N,N
1.638444e+06,5.935103e+11,2.097354e+16,2,80,N,N
4.603752e+05,4.625702e+10,1.177968e+15,2,65,N,N
3.158718e+05,2.493688e+10,5.717712e+14,3,55,N,N
4.599780e+05,4.043917e+10,9.753144e+14,3,68,N,N
4.251549e+05,3.677470e+10,8.740341e+14,0,47,N,N
5.761007e+05,5.243711e+10,1.024961e+15,0,15,N,N
4.127758e+05,2.596048e+10,4.386175e+14,1,76,N,N
3.829200e+05,3.950617e+10,1.226245e+15,3,91,N,N
4.187607e+05,2.599473e+10,4.276932e+14,0,76,N,N
5.713446e+05,4.938090e+10,9.576813e+14,1,62,N,N
3.262778e+05,3.038470e+10,8.682057e+14,0,75,N,N
3.548926e+05,3.070028e+10,7.674325e+14,1,55,N,N
4.868497e+05,5.305709e+10,1.544053e+15,3,96,N,N
4.819351e+05,4.200777e+10,9.476304e+14,0,57,N,N
4.857846e+05,4.495404e+10,1.013271e+15,1,82,N,N
4.213802e+05,4.708969e+10,1.419092e+15,0,39,N,N
3.431694e+05,2.961329e+10,7.503236e+14,1,66,N,N
5.924140e+05,5.558397e+10,1.148505e+15,0,63,N,N
3.154586e+05,2.477367e+10,5.355171e+14,0,81,N,N
5.459879e+05,5.866701e+10,1.506975e+15,1,98,N,N
6.006758e+05,5.853088e+10,1.446753e+15,2,79,N,N
4.661175e+05,3.993316e+10,8.752107e+14,3,48,N,N
8.754473e+05,8.984144e+10,1.267910e+15,2,86,N,N
