setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,31.0
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",KNN_manhattam,30.81
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,30.85
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,33.19
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,32.04
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,32.58
"[('frontal', 'spheric'), ('radial', 'spheric')]",KNN_manhattam,36.19
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,36.38
"[('frontal', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,30.96
"[('frontal', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,34.61
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,37.57
"[('frontal', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,36.8
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",KNN_manhattam,36.3
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_euclidean,36.34
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,35.38
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,33.77
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,34.04
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",KNN_euclidean,32.77
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_euclidean,38.03
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,37.38
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,38.69
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,43.87
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",KNN_manhattam,34.31
"[('frontal', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,39.26
"[('frontal', 'spheric'), ('transversal', 'zernike')]",KNN_euclidean,34.54
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,43.22
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,41.53
"[('frontal', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,32.62
"[('frontal', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,34.42
"[('frontal', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,30.77
"[('frontal', 'spheric'), ('whole', 'husiq')]",KNN_manhattam,32.35
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,39.57
"[('frontal', 'spheric'), ('whole', 'legendre')]",KNN_manhattam,33.54
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",KNN_manhattam,33.73
"[('frontal', 'spheric'), ('upper', 'spheric')]",KNN_manhattam,31.12
"[('frontal', 'spheric'), ('upper', 'hututu')]",KNN_manhattam,35.0
"[('frontal', 'spheric'), ('upper', 'hu1980')]",KNN_manhattam,30.27
"[('frontal', 'spheric'), ('upper', 'husiq')]",KNN_manhattam,32.08
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,38.26
"[('frontal', 'spheric'), ('upper', 'legendre')]",KNN_manhattam,32.85
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",KNN_manhattam,33.58
"[('frontal', 'spheric'), ('lower', 'spheric')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'hu1980')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'husiq')]",KNN_manhattam,31.46
"[('frontal', 'spheric'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'legendre')]",KNN_manhattam,30.7
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",KNN_manhattam,26.35
"[('frontal', 'hututu'), ('frontal', 'husiq')]",KNN_manhattam,25.24
"[('frontal', 'hututu'), ('frontal', 'zernike')]",KNN_manhattam,29.16
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_manhattam,33.08
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,32.92
"[('frontal', 'hututu'), ('radial', 'spheric')]",KNN_manhattam,34.54
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,31.89
"[('frontal', 'hututu'), ('radial', 'hu1980')]",KNN_manhattam,25.7
"[('frontal', 'hututu'), ('radial', 'husiq')]",KNN_manhattam,29.73
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,32.16
"[('frontal', 'hututu'), ('radial', 'legendre')]",KNN_manhattam,35.54
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",KNN_manhattam,35.54
"[('frontal', 'hututu'), ('sagittal', 'spheric')]",KNN_euclidean,34.73
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",KNN_manhattam,31.16
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",KNN_manhattam,28.04
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",KNN_manhattam,30.5
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",KNN_euclidean,27.85
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_euclidean,39.19
