setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,49.54
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",KNN_manhattam,48.42
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,49.46
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,52.42
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,52.27
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,53.54
"[('frontal', 'spheric'), ('radial', 'spheric')]",KNN_manhattam,51.65
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,53.27
"[('frontal', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,48.19
"[('frontal', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,50.23
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,58.3
"[('frontal', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,53.61
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,50.77
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,52.57
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,48.92
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,50.58
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",KNN_manhattam,54.53
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,55.11
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,58.3
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,55.61
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,58.46
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",KNN_manhattam,49.85
"[('frontal', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,54.3
"[('frontal', 'spheric'), ('transversal', 'zernike')]",KNN_manhattam,51.54
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,59.92
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,59.3
"[('frontal', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,50.61
"[('frontal', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,50.35
"[('frontal', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,47.39
"[('frontal', 'spheric'), ('whole', 'husiq')]",KNN_manhattam,48.42
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,53.31
"[('frontal', 'spheric'), ('whole', 'legendre')]",KNN_manhattam,51.54
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",KNN_manhattam,52.77
"[('frontal', 'spheric'), ('upper', 'spheric')]",KNN_manhattam,51.35
"[('frontal', 'spheric'), ('upper', 'hututu')]",KNN_manhattam,53.27
"[('frontal', 'spheric'), ('upper', 'hu1980')]",KNN_manhattam,48.35
"[('frontal', 'spheric'), ('upper', 'husiq')]",KNN_manhattam,49.62
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,60.45
"[('frontal', 'spheric'), ('upper', 'legendre')]",KNN_manhattam,54.23
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",KNN_manhattam,53.0
"[('frontal', 'spheric'), ('lower', 'spheric')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'hututu')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'hu1980')]",KNN_manhattam,0.0
"[('frontal', 'spheric'), ('lower', 'husiq')]",KNN_manhattam,48.12
"[('frontal', 'spheric'), ('lower', 'zernike')]",KNN_manhattam,0.0
