l1,l2,l3,sample,subject
4.061550e+10,4.901842e+20,1.847383e+30,3,72
1.969464e+10,1.055784e+20,1.713821e+29,3,93
1.357141e+10,5.200513e+19,6.033896e+28,0,26
1.426617e+10,6.017845e+19,7.922919e+28,3,96
1.141349e+10,4.019623e+19,4.475314e+28,1,55
9.778622e+09,2.893019e+19,2.692729e+28,3,90
2.357966e+10,1.596407e+20,3.334990e+29,1,5
1.703395e+10,9.127538e+19,1.542082e+29,0,27
9.474288e+09,2.809852e+19,2.652050e+28,0,28
1.602456e+10,8.047204e+19,1.292074e+29,0,67
1.685815e+10,7.859216e+19,1.107234e+29,3,91
1.595384e+10,7.785679e+19,1.197215e+29,0,16
1.478911e+10,7.172025e+19,1.140616e+29,3,99
1.613738e+10,6.838408e+19,8.684753e+28,3,78
8.832818e+09,2.402269e+19,2.068861e+28,2,102
1.221184e+10,4.548160e+19,5.350632e+28,0,22
1.180492e+10,4.242051e+19,4.749054e+28,1,84
9.353912e+09,2.466775e+19,1.989056e+28,2,82
1.204161e+10,4.577884e+19,5.550953e+28,3,68
8.998169e+09,2.596437e+19,2.407810e+28,3,80
1.336012e+10,5.706052e+19,7.763804e+28,1,10
1.107533e+10,3.931646e+19,4.527301e+28,0,56
1.116692e+10,3.953448e+19,4.473623e+28,1,86
4.733408e+10,2.325606e+20,1.764310e+29,1,73
1.142485e+10,4.147251e+19,4.853411e+28,1,40
1.671768e+10,8.547658e+19,1.374552e+29,2,76
1.402681e+10,5.897952e+19,7.644404e+28,0,76
6.950340e+09,1.571208e+19,1.151281e+28,2,53
1.005436e+10,3.290084e+19,3.504251e+28,1,65
1.869838e+10,9.744681e+19,1.549647e+29,0,32
1.478724e+10,6.627574e+19,9.242045e+28,3,98
1.145522e+10,4.185940e+19,4.903303e+28,0,10
1.561279e+10,7.955709e+19,1.317688e+29,2,99
1.615230e+10,7.588824e+19,1.093598e+29,3,61
7.230528e+09,1.714134e+19,1.332959e+28,3,95
1.049615e+10,3.389510e+19,3.462371e+28,0,55
1.728687e+10,9.180993e+19,1.542518e+29,2,66
1.148860e+10,4.282885e+19,5.200063e+28,3,56
1.230205e+10,4.653152e+19,5.485240e+28,2,84
1.072812e+10,3.679059e+19,4.068990e+28,2,92
9.329928e+09,2.768131e+19,2.611706e+28,2,62
1.250803e+10,3.983453e+19,3.670927e+28,0,83
1.740295e+10,9.140007e+19,1.494263e+29,1,57
1.475637e+10,5.932745e+19,7.056276e+28,3,59
1.186292e+10,3.740483e+19,3.529358e+28,0,11
7.903549e+09,1.930303e+19,1.493241e+28,0,13
1.457951e+10,6.609548e+19,9.292580e+28,1,64
1.759174e+10,9.688643e+19,1.684795e+29,1,35
1.864069e+10,1.025781e+20,1.759340e+29,0,8
1.105191e+10,3.807962e+19,4.148588e+28,0,86
7.715775e+09,1.782239e+19,1.282089e+28,1,63
1.818924e+10,9.521916e+19,1.528185e+29,2,51
7.706939e+09,1.812386e+19,1.322194e+28,3,48
